"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","Start","End","Exon_Intron","Orientation","UTR_CDS","Length"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48735858","48736597","intron","+","-","740"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48736598","48736729","exon","+","CDS","132"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48736730","48738283","intron","+","-","1554"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48738284","48738475","exon","+","CDS","192"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48738476","48741041","intron","+","-","2566"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48741042","48741219","exon","+","CDS","178"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48741220","48741310","intron","+","-","91"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48741311","48741472","exon","+","CDS","162"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48741473","48742513","intron","+","-","1041"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48742514","48742606","exon","+","CDS","93"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48742607","48744914","intron","+","-","2308"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48744915","48745202","exon","+","CDS","288"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48745203","48745288","exon","+","UTR","86"
"ABCC3","8714","NP_003777.2","NM_003786.3","48712218","48712297","exon","+","UTR","80"
"ABCC3","8714","NP_003777.2","NM_003786.3","48712298","48712342","exon","+","CDS","45"
"ABCC3","8714","NP_003777.2","NM_003786.3","48712343","48733192","intron","+","-","20850"
"ABCC3","8714","NP_003777.2","NM_003786.3","48733193","48733369","exon","+","CDS","177"
"ABCC3","8714","NP_003777.2","NM_003786.3","48733370","48734062","intron","+","-","693"
"ABCC3","8714","NP_003777.2","NM_003786.3","48734063","48734188","exon","+","CDS","126"
"ABCC3","8714","NP_003777.2","NM_003786.3","48734189","48734406","intron","+","-","218"
"ABCC3","8714","NP_003777.2","NM_003786.3","48734407","48734544","exon","+","CDS","138"
"ABCC3","8714","NP_003777.2","NM_003786.3","48734545","48735442","intron","+","-","898"
"ABCC3","8714","NP_003777.2","NM_003786.3","48735443","48735568","exon","+","CDS","126"
"ABCC3","8714","NP_003777.2","NM_003786.3","48735569","48735795","intron","+","-","227"
"ABCC3","8714","NP_003777.2","NM_003786.3","48735796","48735857","exon","+","CDS","62"
"ABCC3","8714","NP_003777.2","NM_003786.3","48735858","48736597","intron","+","-","740"
"ABCC3","8714","NP_003777.2","NM_003786.3","48736598","48736729","exon","+","CDS","132"
"ABCC3","8714","NP_003777.2","NM_003786.3","48736730","48738283","intron","+","-","1554"
"ABCC3","8714","NP_003777.2","NM_003786.3","48738284","48738475","exon","+","CDS","192"
"ABCC3","8714","NP_003777.2","NM_003786.3","48738476","48741041","intron","+","-","2566"
"ABCC3","8714","NP_003777.2","NM_003786.3","48741042","48741219","exon","+","CDS","178"
"ABCC3","8714","NP_003777.2","NM_003786.3","48741220","48741310","intron","+","-","91"
"ABCC3","8714","NP_003777.2","NM_003786.3","48741311","48741472","exon","+","CDS","162"
"ABCC3","8714","NP_003777.2","NM_003786.3","48741473","48742513","intron","+","-","1041"
"ABCC3","8714","NP_003777.2","NM_003786.3","48742514","48742606","exon","+","CDS","93"
"ABCC3","8714","NP_003777.2","NM_003786.3","48742607","48744914","intron","+","-","2308"
"ABCC3","8714","NP_003777.2","NM_003786.3","48744915","48745118","exon","+","CDS","204"
"ABCC3","8714","NP_003777.2","NM_003786.3","48745119","48745223","intron","+","-","105"
"ABCC3","8714","NP_003777.2","NM_003786.3","48745224","48745370","exon","+","CDS","147"
"ABCC3","8714","NP_003777.2","NM_003786.3","48745371","48745790","intron","+","-","420"
"ABCC3","8714","NP_003777.2","NM_003786.3","48745791","48745878","exon","+","CDS","88"
"ABCC3","8714","NP_003777.2","NM_003786.3","48745879","48746213","intron","+","-","335"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746214","48746280","exon","+","CDS","67"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746281","48746500","intron","+","-","220"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746501","48746627","exon","+","CDS","127"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746628","48746712","intron","+","-","85"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746713","48746889","exon","+","CDS","177"
"ABCC3","8714","NP_003777.2","NM_003786.3","48746890","48750331","intron","+","-","3442"
"ABCC3","8714","NP_003777.2","NM_003786.3","48750332","48750499","exon","+","CDS","168"
"ABCC3","8714","NP_003777.2","NM_003786.3","48750500","48750829","intron","+","-","330"
"ABCC3","8714","NP_003777.2","NM_003786.3","48750830","48751019","exon","+","CDS","190"
"ABCC3","8714","NP_003777.2","NM_003786.3","48751020","48752722","intron","+","-","1703"
"ABCC3","8714","NP_003777.2","NM_003786.3","48752723","48752837","exon","+","CDS","115"
"ABCC3","8714","NP_003777.2","NM_003786.3","48752838","48752991","intron","+","-","154"
"ABCC3","8714","NP_003777.2","NM_003786.3","48752992","48753136","exon","+","CDS","145"
"ABCC3","8714","NP_003777.2","NM_003786.3","48753137","48753243","intron","+","-","107"
"ABCC3","8714","NP_003777.2","NM_003786.3","48753244","48753451","exon","+","CDS","208"
"ABCC3","8714","NP_003777.2","NM_003786.3","48753452","48753638","intron","+","-","187"
"ABCC3","8714","NP_003777.2","NM_003786.3","48753639","48753949","exon","+","CDS","311"
"ABCC3","8714","NP_003777.2","NM_003786.3","48753950","48755104","intron","+","-","1155"
"ABCC3","8714","NP_003777.2","NM_003786.3","48755105","48755304","exon","+","CDS","200"
"ABCC3","8714","NP_003777.2","NM_003786.3","48755305","48755453","intron","+","-","149"
"ABCC3","8714","NP_003777.2","NM_003786.3","48755454","48755580","exon","+","CDS","127"
"ABCC3","8714","NP_003777.2","NM_003786.3","48755581","48757158","intron","+","-","1578"
"ABCC3","8714","NP_003777.2","NM_003786.3","48757159","48757260","exon","+","CDS","102"
"ABCC3","8714","NP_003777.2","NM_003786.3","48757261","48760970","intron","+","-","3710"
"ABCC3","8714","NP_003777.2","NM_003786.3","48760971","48761117","exon","+","CDS","147"
"ABCC3","8714","NP_003777.2","NM_003786.3","48761118","48761309","intron","+","-","192"
"ABCC3","8714","NP_003777.2","NM_003786.3","48761310","48761468","exon","+","CDS","159"
"ABCC3","8714","NP_003777.2","NM_003786.3","48761469","48762069","intron","+","-","601"
"ABCC3","8714","NP_003777.2","NM_003786.3","48762070","48762236","exon","+","CDS","167"
"ABCC3","8714","NP_003777.2","NM_003786.3","48762237","48764896","intron","+","-","2660"
"ABCC3","8714","NP_003777.2","NM_003786.3","48764897","48765091","exon","+","CDS","195"
"ABCC3","8714","NP_003777.2","NM_003786.3","48765092","48768452","intron","+","-","3361"
"ABCC3","8714","NP_003777.2","NM_003786.3","48768453","48768561","exon","+","CDS","109"
"ABCC3","8714","NP_003777.2","NM_003786.3","48768562","48769063","exon","+","UTR","502"
"ACOT2","10965","NP_006812.3","NM_006821.4","74035772","74035944","exon","+","UTR","173"
"ACOT2","10965","NP_006812.3","NM_006821.4","74035945","74036587","exon","+","CDS","643"
"ACOT2","10965","NP_006812.3","NM_006821.4","74036588","74040091","intron","+","-","3504"
"ACOT2","10965","NP_006812.3","NM_006821.4","74040092","74040294","exon","+","CDS","203"
"ACOT2","10965","NP_006812.3","NM_006821.4","74040295","74041611","intron","+","-","1317"
"ACOT2","10965","NP_006812.3","NM_006821.4","74041612","74042217","exon","+","CDS","606"
"ACOT2","10965","NP_006812.3","NM_006821.4","74042218","74042359","exon","+","UTR","142"
"ADAM3","80332","NP_079496.1","NM_025220.2","3648620","3649609","exon","-","UTR","990"
"ADAM3","80332","NP_079496.1","NM_025220.2","3649610","3649647","exon","-","CDS","38"
"ADAM3","80332","NP_079496.1","NM_025220.2","3649648","3649945","intron","-","-","298"
"ADAM3","80332","NP_079496.1","NM_025220.2","3649946","3650017","exon","-","CDS","72"
"ADAM3","80332","NP_079496.1","NM_025220.2","3650018","3650192","intron","-","-","175"
"ADAM3","80332","NP_079496.1","NM_025220.2","3650193","3650284","exon","-","CDS","92"
"ADAM3","80332","NP_079496.1","NM_025220.2","3650285","3651652","intron","-","-","1368"
"ADAM3","80332","NP_079496.1","NM_025220.2","3651653","3651800","exon","-","CDS","148"
"ADAM3","80332","NP_079496.1","NM_025220.2","3651801","3651883","intron","-","-","83"
"ADAM3","80332","NP_079496.1","NM_025220.2","3651884","3651992","exon","-","CDS","109"
"ADAM3","80332","NP_079496.1","NM_025220.2","3651993","3652065","intron","-","-","73"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652066","3652143","exon","-","CDS","78"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652144","3652227","intron","-","-","84"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652228","3652426","exon","-","CDS","199"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652427","3652523","intron","-","-","97"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652524","3652632","exon","-","CDS","109"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652633","3652780","intron","-","-","148"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652781","3652976","exon","-","CDS","196"
"ADAM3","80332","NP_079496.1","NM_025220.2","3652977","3653183","intron","-","-","207"
"ADAM3","80332","NP_079496.1","NM_025220.2","3653184","3653273","exon","-","CDS","90"
"ADAM3","80332","NP_079496.1","NM_025220.2","3653274","3653367","intron","-","-","94"
"ADAM3","80332","NP_079496.1","NM_025220.2","3653368","3653545","exon","-","CDS","178"
"ADAM3","80332","NP_079496.1","NM_025220.2","3653546","3654000","intron","-","-","455"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654001","3654143","exon","-","CDS","143"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654144","3654220","intron","-","-","77"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654221","3654305","exon","-","CDS","85"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654306","3654391","intron","-","-","86"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654392","3654558","exon","-","CDS","167"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654559","3654710","intron","-","-","152"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654711","3654782","exon","-","CDS","72"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654783","3654865","intron","-","-","83"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654866","3654931","exon","-","CDS","66"
"ADAM3","80332","NP_079496.1","NM_025220.2","3654932","3655150","intron","-","-","219"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655151","3655340","exon","-","CDS","190"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655341","3655419","intron","-","-","79"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655420","3655496","exon","-","CDS","77"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655497","3655673","intron","-","-","177"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655674","3655752","exon","-","CDS","79"
"ADAM3","80332","NP_079496.1","NM_025220.2","3655753","3657713","intron","-","-","1961"
"ADAM3","80332","NP_079496.1","NM_025220.2","3657714","3657790","exon","-","CDS","77"
"ADAM3","80332","NP_079496.1","NM_025220.2","3657791","3660138","intron","-","-","2348"
"ADAM3","80332","NP_079496.1","NM_025220.2","3660139","3660218","exon","-","CDS","80"
"ADAM3","80332","NP_079496.1","NM_025220.2","3660219","3662554","intron","-","-","2336"
"ADAM3","80332","NP_079496.1","NM_025220.2","3662555","3662651","exon","-","CDS","97"
"ADAM3","80332","NP_079496.1","NM_025220.2","3662652","3662738","exon","-","UTR","87"
"ADAM3","80332","NP_694882.1","NM_153202.1","3648620","3649609","exon","-","UTR","990"
"ADAM3","80332","NP_694882.1","NM_153202.1","3649610","3649647","exon","-","CDS","38"
"ADAM3","80332","NP_694882.1","NM_153202.1","3649648","3649945","intron","-","-","298"
"ADAM3","80332","NP_694882.1","NM_153202.1","3649946","3650017","exon","-","CDS","72"
"ADAM3","80332","NP_694882.1","NM_153202.1","3650018","3650192","intron","-","-","175"
"ADAM3","80332","NP_694882.1","NM_153202.1","3650193","3650284","exon","-","CDS","92"
"ADAM3","80332","NP_694882.1","NM_153202.1","3650285","3651652","intron","-","-","1368"
"ADAM3","80332","NP_694882.1","NM_153202.1","3651653","3651800","exon","-","CDS","148"
"ADAM3","80332","NP_694882.1","NM_153202.1","3651801","3651883","intron","-","-","83"
"ADAM3","80332","NP_694882.1","NM_153202.1","3651884","3651992","exon","-","CDS","109"
"ADAM3","80332","NP_694882.1","NM_153202.1","3651993","3652227","intron","-","-","235"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652228","3652426","exon","-","CDS","199"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652427","3652523","intron","-","-","97"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652524","3652632","exon","-","CDS","109"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652633","3652780","intron","-","-","148"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652781","3652976","exon","-","CDS","196"
"ADAM3","80332","NP_694882.1","NM_153202.1","3652977","3653183","intron","-","-","207"
"ADAM3","80332","NP_694882.1","NM_153202.1","3653184","3653273","exon","-","CDS","90"
"ADAM3","80332","NP_694882.1","NM_153202.1","3653274","3653367","intron","-","-","94"
"ADAM3","80332","NP_694882.1","NM_153202.1","3653368","3653545","exon","-","CDS","178"
"ADAM3","80332","NP_694882.1","NM_153202.1","3653546","3654000","intron","-","-","455"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654001","3654143","exon","-","CDS","143"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654144","3654220","intron","-","-","77"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654221","3654305","exon","-","CDS","85"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654306","3654391","intron","-","-","86"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654392","3654558","exon","-","CDS","167"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654559","3654710","intron","-","-","152"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654711","3654782","exon","-","CDS","72"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654783","3654865","intron","-","-","83"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654866","3654931","exon","-","CDS","66"
"ADAM3","80332","NP_694882.1","NM_153202.1","3654932","3655150","intron","-","-","219"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655151","3655340","exon","-","CDS","190"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655341","3655419","intron","-","-","79"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655420","3655496","exon","-","CDS","77"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655497","3655673","intron","-","-","177"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655674","3655752","exon","-","CDS","79"
"ADAM3","80332","NP_694882.1","NM_153202.1","3655753","3657713","intron","-","-","1961"
"ADAM3","80332","NP_694882.1","NM_153202.1","3657714","3657790","exon","-","CDS","77"
"ADAM3","80332","NP_694882.1","NM_153202.1","3657791","3660138","intron","-","-","2348"
"ADAM3","80332","NP_694882.1","NM_153202.1","3660139","3660218","exon","-","CDS","80"
"ADAM3","80332","NP_694882.1","NM_153202.1","3660219","3662554","intron","-","-","2336"
"ADAM3","80332","NP_694882.1","NM_153202.1","3662555","3662651","exon","-","CDS","97"
"ADAM3","80332","NP_694882.1","NM_153202.1","3662652","3662738","exon","-","UTR","87"
"ADAM9","8754","NP_003807.1","NM_003816.2","38854505","38854582","exon","+","UTR","78"
"ADAM9","8754","NP_003807.1","NM_003816.2","38854583","38854679","exon","+","CDS","97"
"ADAM9","8754","NP_003807.1","NM_003816.2","38854680","38865404","intron","+","-","10725"
"ADAM9","8754","NP_003807.1","NM_003816.2","38865405","38865502","exon","+","CDS","98"
"ADAM9","8754","NP_003807.1","NM_003816.2","38865503","38869176","intron","+","-","3674"
"ADAM9","8754","NP_003807.1","NM_003816.2","38869177","38869235","exon","+","CDS","59"
"ADAM9","8754","NP_003807.1","NM_003816.2","38869236","38871483","intron","+","-","2248"
"ADAM9","8754","NP_003807.1","NM_003816.2","38871484","38871562","exon","+","CDS","79"
"ADAM9","8754","NP_003807.1","NM_003816.2","38871563","38873636","intron","+","-","2074"
"ADAM9","8754","NP_003807.1","NM_003816.2","38873637","38873713","exon","+","CDS","77"
"ADAM9","8754","NP_003807.1","NM_003816.2","38873714","38874737","intron","+","-","1024"
"ADAM9","8754","NP_003807.1","NM_003816.2","38874738","38874933","exon","+","CDS","196"
"ADAM9","8754","NP_003807.1","NM_003816.2","38874934","38876371","intron","+","-","1438"
"ADAM9","8754","NP_003807.1","NM_003816.2","38876372","38876437","exon","+","CDS","66"
"ADAM9","8754","NP_003807.1","NM_003816.2","38876438","38879161","intron","+","-","2724"
"ADAM9","8754","NP_003807.1","NM_003816.2","38879162","38879233","exon","+","CDS","72"
"ADAM9","8754","NP_003807.1","NM_003816.2","38879234","38880674","intron","+","-","1441"
"ADAM9","8754","NP_003807.1","NM_003816.2","38880675","38880844","exon","+","CDS","170"
"ADAM9","8754","NP_003807.1","NM_003816.2","38880845","38883321","intron","+","-","2477"
"ADAM9","8754","NP_003807.1","NM_003816.2","38883322","38883403","exon","+","CDS","82"
"ADAM9","8754","NP_003807.1","NM_003816.2","38883404","38884195","intron","+","-","792"
"ADAM9","8754","NP_003807.1","NM_003816.2","38884196","38884329","exon","+","CDS","134"
"ADAM9","8754","NP_003807.1","NM_003816.2","38884330","38899464","intron","+","-","15135"
"ADAM9","8754","NP_003807.1","NM_003816.2","38899465","38899636","exon","+","CDS","172"
"ADAM9","8754","NP_003807.1","NM_003816.2","38899637","38911999","intron","+","-","12363"
"ADAM9","8754","NP_003807.1","NM_003816.2","38912000","38912092","exon","+","CDS","93"
"ADAM9","8754","NP_003807.1","NM_003816.2","38912093","38913095","intron","+","-","1003"
"ADAM9","8754","NP_003807.1","NM_003816.2","38913096","38913291","exon","+","CDS","196"
"ADAM9","8754","NP_003807.1","NM_003816.2","38913292","38928816","intron","+","-","15525"
"ADAM9","8754","NP_003807.1","NM_003816.2","38928817","38928922","exon","+","CDS","106"
"ADAM9","8754","NP_003807.1","NM_003816.2","38928923","38934746","intron","+","-","5824"
"ADAM9","8754","NP_003807.1","NM_003816.2","38934747","38934930","exon","+","CDS","184"
"ADAM9","8754","NP_003807.1","NM_003816.2","38934931","38940159","intron","+","-","5229"
"ADAM9","8754","NP_003807.1","NM_003816.2","38940160","38940240","exon","+","CDS","81"
"ADAM9","8754","NP_003807.1","NM_003816.2","38940241","38940486","intron","+","-","246"
"ADAM9","8754","NP_003807.1","NM_003816.2","38940487","38940592","exon","+","CDS","106"
"ADAM9","8754","NP_003807.1","NM_003816.2","38940593","38947565","intron","+","-","6973"
"ADAM9","8754","NP_003807.1","NM_003816.2","38947566","38947707","exon","+","CDS","142"
"ADAM9","8754","NP_003807.1","NM_003816.2","38947708","38948777","intron","+","-","1070"
"ADAM9","8754","NP_003807.1","NM_003816.2","38948778","38948865","exon","+","CDS","88"
"ADAM9","8754","NP_003807.1","NM_003816.2","38948866","38959381","intron","+","-","10516"
"ADAM9","8754","NP_003807.1","NM_003816.2","38959382","38959449","exon","+","CDS","68"
"ADAM9","8754","NP_003807.1","NM_003816.2","38959450","38961125","intron","+","-","1676"
"ADAM9","8754","NP_003807.1","NM_003816.2","38961126","38961219","exon","+","CDS","94"
"ADAM9","8754","NP_003807.1","NM_003816.2","38961220","38962780","exon","+","UTR","1561"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28290231","28296371","exon","-","UTR","6141"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28296372","28296939","exon","-","CDS","568"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28296940","28302204","intron","-","-","5265"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28302205","28302380","exon","-","CDS","176"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28302381","28304322","intron","-","-","1942"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28304323","28304498","exon","-","CDS","176"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28304499","28305179","intron","-","-","681"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28305180","28305363","exon","-","CDS","184"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28305364","28306784","intron","-","-","1421"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28306785","28307068","exon","-","CDS","284"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28307069","28315698","intron","-","-","8630"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28315699","28315866","exon","-","CDS","168"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28315867","28327057","intron","-","-","11191"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28327058","28327190","exon","-","CDS","133"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28327191","28337606","intron","-","-","10416"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28337607","28338710","exon","-","CDS","1104"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","28338711","28339439","exon","-","UTR","729"
