"Gene_Name","Gene_ID","Contig","Location","HPRD_ID","HGNC_ID","Unigene_ID","Ensemble_ID","PharmGkB_ID","OMIM_ID","Homologene_ID"
"CASP3","836","NC_000004.11","185548850..185570629; complement","HPRD:02799","1504","141125","ENSG00000164305","PA26087","600636","37912"
"CASP7","840","NC_000010.10","115438935..115490664","HPRD:03457","1508","9216","ENSG00000165806","-","601761","11168"
"RUNX1","861","NC_000021.8","36160098..36421595; complement","HPRD:01043","10471","149261;612648","ENSG00000159216","PA34884","151385","1331"
"RUNX1T1","862","NC_000008.10","92971152..93107443; complement","HPRD:00590","1535","368431","ENSG00000079102","-","133435","3801"
"CCNA2","890","NC_000004.11","122737599..122745088; complement","HPRD:00453","1578","58974","ENSG00000145386","-","123835","55562"
"CCNE1","898","NC_000019.9","30302901..30315219","HPRD:00455","1589","244723","ENSG00000105173","-","123837","14452"
"CD44","960","NC_000011.9","35160417..35253949","HPRD:00115","1681","502328","ENSG00000026508","PA26221","107269","508"
"CD69","969","NC_000012.11","9905082..9913497; complement","HPRD:00119","1694","208854","ENSG00000110848","-","107273","90963"
"CDC25B","994","NC_000020.10","3776401..3786762","HPRD:00307","1726","153752","ENSG00000101224","-","116949","41451"
"CDH1","999","NC_000016.9","68771195..68869444","HPRD:01885","1748","461086","ENSG00000039068","-","192090","20917"
"CDH3","1001","NC_000016.9","68678151..68732957","HPRD:00227","1762","191842","ENSG00000062038","-","114021","20425"
"CDH6","1004","NC_000005.9","31193796..31325237","HPRD:04305","1765","171054","ENSG00000113361","-","603007","21027"
"CDK4","1019","NC_000012.11","57799597..57803758; complement","HPRD:00447","1773","95577","ENSG00000135446","-","123829","55429"
"CDKN1A","1026","NC_000006.11","36646459..36655109","HPRD:00298","1784","370771","ENSG00000124762","PA104","116899","333"
"CDKN1B","1027","NC_000012.11","12870302..12875305","HPRD:02867","1785","238990","ENSG00000111276","PA105","600778","2999"
"CDKN2A","1029","NC_000009.11","21967751..21994490; complement","HPRD:02542","1787","512599","ENSG00000147889","-","600160","55430"
"CDKN3","1033","NC_000014.8","54863673..54886936","HPRD:00450","1791","84113","ENSG00000100526","-","123832","3805"
"CNR2","1269","NC_000001.10","24200460..24239817; complement","HPRD:05444","2160","73037","ENSG00000188822","-","605051","1389"
"CNTF","1270","NC_000011.9","58390146..58393206","HPRD:00347","2169","524920","ENSG00000242689;ENSG00000186660","-","118945","8288"
"COL3A1","1281","NC_000002.11","189839099..189877472","HPRD:00365","2201","443625;708235","ENSG00000168542","-","120180","55433"
"COL4A5","1287","NC_000023.10","107683154..107940775","HPRD:02363","2207","369089","ENSG00000188153","-","303630","22422"
"COX7A1","1346","NC_000019.9","36641824..36643771; complement","HPRD:00481","2287","421621","ENSG00000161281","-","123995","48051"
"CRABP2","1382","NC_000001.10","156669403..156675375; complement","HPRD:08353","2339","405662","ENSG00000143320","-","180231","1415"
"CREB1","1385","NC_000002.11","208394616..208470284","HPRD:00442","2345","516646","ENSG00000118260","PA26864","123810","3223"
"CSNK2B","1460","NC_000006.11","31633657..31637843","HPRD:00278","2460","73527","ENSG00000204435","-","115441","55572"
"CTNNB1","1499","NC_000003.11","41240942..41281939","HPRD:00286","2514","476018","ENSG00000168036","-","116806","1434"
"CTNND1","1500","NC_000011.9","57529234..57586652","HPRD:03026","2515","166011","ENSG00000198561","-","601045","1017"
"CTSB","1508","NC_000008.10","11700033..11725646; complement","HPRD:00287","2527","520898","ENSG00000164733","-","116810","37550"
"CTSD","1509","NC_000011.9","1773985..1785222; complement","HPRD:00291","2529","654447","ENSG00000117984","-","116840","55616"
"CTSH","1512","NC_000015.9","79214092..79237420; complement","HPRD:00288","2535","148641","ENSG00000103811","-","116820","36159"
"CTSW","1521","NC_000011.9","65647284..65651212","HPRD:03840","2546","416848","ENSG00000172543","-","602364","37471"
"CYP1A1","1543","NC_000015.9","75011883..75017877; complement","HPRD:00148","2595","72912","ENSG00000140465","-","108330","68062"
"CYP1B1","1545","NC_000002.11","38294746..38303323; complement","HPRD:03464","2597","154654","ENSG00000138061","PA27094","601771","68035"
"CYP3A7","1551","NC_000007.13","99302660..99332819; complement","HPRD:05630","2640","111944","ENSG00000160870","PA122","605340","121493"
"CYP17A1","1586","NC_000010.10","104590288..104597290; complement","HPRD:01944","2593","438016","ENSG00000148795","-","609300","73875"
"CYP19A1","1588","NC_000015.9","51500254..51630795; complement","HPRD:00488","2594","260074","ENSG00000137869","-","107910","30955"
"DACH1","1602","NC_000013.10","72012098..72441330; complement","HPRD:16031","2663","129452","ENSG00000165659","-","603803","7288"
"DARS","1615","NC_000002.11","136664254..136743222; complement","HPRD:04361","2678","503787","ENSG00000115866","PA27146","603084","1032"
"DLX5","1749","NC_000007.13","96649702..96654143; complement","HPRD:02492","2918","99348","ENSG00000105880","-","600028","3825"
"DNMT1","1786","NC_000019.9","10244022..10305755; complement","HPRD:00532","2976","202672","ENSG00000130816","PA27443","126375","124344"
"DPP6","1804","NC_000007.13","153584419..154264035","HPRD:00525","3010","490684;669076;703229","ENSG00000130226","-","126141","22560"
"SLC26A2","1836","NC_000005.9","149340300..149366963","HPRD:05990","10994","302738","ENSG00000155850","-","606718","73876"
"ECM2","1842","NC_000009.11","95257599..95298252; complement","HPRD:09148","3154","117060","ENSG00000106823","-","603479","1064"
"TYMP","1890","NC_000022.10","50964181..50968514; complement","HPRD:08833","3148","592212","ENSG00000025708","PA153","131222","1474"
"EDNRB","1910","NC_000013.10","78469616..78492966; complement","HPRD:08834","3180","82002","ENSG00000136160","-","131244","89"
"EFNB2","1948","NC_000013.10","107142093..107187337; complement","HPRD:02754","3227","149239","ENSG00000125266","PA27662","600527","3019"
"EGF","1950","NC_000004.11","110834040..110934118","HPRD:00578","3229","419815","ENSG00000138798","-","131530","1483"
"EGFR","1956","NC_000007.13","55086725..55275031","HPRD:00579","3236","488293","ENSG00000146648","PA7360","131550","74545"
"EIF4EBP1","1978","NC_000008.10","37888020..37917883","HPRD:03746","3288","411641","ENSG00000187840","-","602223","3021"
"ELF1","1997","NC_000013.10","41506055..41593508; complement","HPRD:01808","3316","135646","ENSG00000120690","PA27744","189973","7303"
"ELF5","2001","NC_000011.9","34500342..34535330; complement","HPRD:05525","3320","11713","ENSG00000135374","PA27748","605169","7702"
"EMP2","2013","NC_000016.9","10622279..10674539; complement","HPRD:11893","3334","531561","ENSG00000213853","-","602334","1089"
"ENSA","2029","NC_000001.10","150594599..150602098; complement","HPRD:11927","3360","632456","ENSG00000143420","-","603061","37924"
"EPHB2","2048","NC_000001.10","23037331..23241823","HPRD:02997","3393","523329","ENSG00000133216","-","600997","37925"
"EPHB4","2050","NC_000007.13","100400187..100425143; complement","HPRD:02481","3395","437008","ENSG00000196411","-","600011","20939"
"ErbB2","2064","NC_000017.10","37844393..37884915","HPRD:01281","3430","446352","ENSG00000141736","PA27844","164870","3273"
"ESR1","2099","NC_000006.11","152011631..152424409","HPRD:00589","3467","208124","ENSG00000091831","PA156","133430","47906"
"ESR2","2100","NC_000014.8","64693751..64805268; complement","HPRD:03390","3468","660607;729020","ENSG00000140009","PA27886","601663","1100"
"ETS1","2113","NC_000011.9","128328656..128457453; complement","HPRD:01260","3488","369438","ENSG00000134954","-","164720","3837"
"ETV5","2119","NC_000003.11","185764106..185826901; complement","HPRD:09035","3494","43697","ENSG00000244405","PA27908","601600","3276"
"F10","2159","NC_000013.10","113777113..113803843","HPRD:01966","3528","361463","ENSG00000126218","-","613872","30976"
"F13A1","2162","NC_000006.11","6144311..6320924; complement","HPRD:00604","3531","335513","ENSG00000124491","-","134570","20077"
"FBN1","2200","NC_000015.9","48700503..48937985; complement","HPRD:00618","3603","591133","ENSG00000166147","-","134797","30958"
"EFEMP1","2202","NC_000002.11","56093102..56150932; complement","HPRD:03331","3218","76224","ENSG00000115380","-","601548","3028"
"FGF2","2247","NC_000004.11","123747863..123819390","HPRD:00622","3676","284244","ENSG00000138685","-","134920","1521"
"FGFR1","2260","NC_000008.10","38268656..38326352; complement","HPRD:00634","3688","264887","ENSG00000077782","-","136350","69065"
"FHIT","2272","NC_000003.11 ","59735036..61237133; complement","HPRD:03096","3701","655995","ENSG00000189283","PA28140","601153","21661"
"FOXC1","2296","NC_000006.11","1610681..1614132","HPRD:03054","3800","348883","ENSG00000054598","-","601090","20373"
"FOLH1","2346","NC_000011.9","49168187..49230222; complement","HPRD:02961","3788","654487","ENSG00000086205","-","600934","121694"
"FUCA1","2517","NC_000001.10","24171567..24194859; complement","HPRD:01974","4006","370858","ENSG00000179163","PA28422","612280","20078"
"GAD1","2571","NC_000002.11","171673200..171717661","HPRD:12011","4092","420036","ENSG00000128683","-","605363","635"
"GAS6","2621","NC_000013.10","114523522..114567046; complement","HPRD:02705","4168","646346","ENSG00000183087","-","600441","638"
"SFN","2810","NC_000001.10","27189633..27190947","HPRD:03185","2810","523718","ENSG00000175793","-","601290","4475"
"GP2","2813","NC_000016.9","20321811..20338835; complement","HPRD:04279","4441","53985","ENSG00000169347","-","602977","114817"
"NR3C1","2908","NC_000005.9","142657496..142815077; complement","HPRD:00679","7978","122926;661099","ENSG00000113580","PA181","138040","30960"
"GSTP1","2950","NC_000011.9","67351066..67354124","HPRD:00614","4638","523836","ENSG00000084207","PA29028","134660","660"
"GZMA","3001","NC_000005.9","54398474..54406080","HPRD:00771","4708","90708","ENSG00000145649","-","140050","21237"
"HDAC2","3066","NC_000006.11","114257320..114292359; complement","HPRD:05521","4853","3352","ENSG00000196591","-","605164","68187"
"HGD","3081","NC_000003.11","120347015..120401418; complement","HPRD:06315","4892","368254","ENSG00000113924","-","607474","156"
"HIF1A","3091","NC_000014.8","62162119..62214977","HPRD:04517","4910","597216","ENSG00000100644","PA29283","603348","1171"
"HMGB1","3146","NC_000013.10","31032877..31040081; complement","HPRD:01228","4983","434102;593339;596078","ENSG00000189403","PA188","163905","110676"
"FOXA1","3169","NC_000014.8","38059189..38064489; complement","HPRD:03801","5021","163484","ENSG00000129514","-","602294","3307"
"FOXA2","3170","NC_000020.10","22561642..22566101; complement","HPRD:02618","5022","155651","ENSG00000125798","-","600288","7762"
"SLC29A2","3177","NC_000011.9","66129992..66139291; complement","HPRD:03662","11004","569017","ENSG00000174669","PA191","602110","37493"
"HOXA10","3206","NC_000007.13","27210210..27219876; complement","HPRD:00845","5100","659350;110637","ENSG00000253293","-","142957","7365"
"HOXA11","3207","NC_000007.13","27220776..27224835; complement","HPRD:00846","5101","249171","ENSG00000005073","-","142958","4033"
"HP","3240","NC_000016.9","72088508..72094955","HPRD:00772","5141","513711;708058","ENSG00000257017","-","140100","121756"
"HSPA8","3312","NC_000011.9","122928200..122932844; complement","HPRD:07205","5241","180414","ENSG00000109971","-","600816","68524"
"HTR1B","3351","NC_000006.11","78171948..78173120; complement","HPRD:01634","5287","123016","ENSG00000135312","-","182131","669"
"HYAL1","3373","NC_000003.11","50393064..50405515; complement","HPRD:06146","5320","75619","ENSG00000114378","-","607071","5277"
"ID4","3400","NC_000006.11","19837617..19840915","HPRD:08995","5363","519601","ENSG00000172201","-","600581","1186"
"IFIT4","3437","NC_000010.10","91087602..91100725","HPRD:05228","5411","47338","ENSG00000119917","-","604650","1189"
"IGF1","3479","NC_000012.11","102789645..102874378; complement","HPRD:00936","5464","160562","ENSG00000017427","-","147440","515"
"IGF2","3481","NC_000011.9","2150347..2170833; complement","HPRD:00939","5466","272259;718427","ENSG00000167244","PA29699","147470","510"
"IGFBP1","3484","NC_000007.13","45927959..45933267","HPRD:00897","5469","642938","ENSG00000146678","-","146730","498"
"IGFBP3","3486","NC_000007.13","45951844..45960871; complement","HPRD:00899","5472","450230;697535","ENSG00000146674","-","146732","500"
"IGFBP6","3489","NC_000012.11","53491436..53496128","HPRD:00902","5475","274313","ENSG00000167779","-","146735","1641"
"Cyr61","3491","NC_000001.10","86046444..86049650","HPRD:09089","2654","8867","ENSG00000142871","-","602369","1194"
"IGJ","3512","NC_000004.11","71521258..71532348; complement","HPRD:00991","5713","715953;643431","ENSG00000132465","PA29733","147790","16958"
"IL8","3576","NC_000004.11","74606275..74609433","HPRD:00909","6025","624","ENSG00000169429","-","146930","47937"
"IL11","3589","NC_000019.9","55875757..55881814; complement","HPRD:00980","5966","467304","ENSG00000095752","-","147681","535"
"ITGAV","3685","NC_000002.11","187454790..187545628","HPRD:01903","6150","436873","ENSG00000138448","-","193210","20510"
"KRAS","3845","NC_000012.11","25358180..25403854; complement","HPRD:01817","6407","505033","ENSG00000133703","-","190070","37990"
"KLRT32","3882","NC_000017.10","39615765..39623638; complement","HPRD:04134","6449","41752","ENSG00000108759","-","602760","68246"
"LAMB1","3912","NC_000007.13","107564246..107643804; complement","HPRD:01029","6486","650585","ENSG00000091136","-","150240","1722"
"LCN2","3934","NC_000009.11","130911732..130915734","HPRD:02551","6526","204238","ENSG00000148346","PA30309","600181","4064"
"LGALS3","3958","NC_000014.8","55595935..55612148","HPRD:01090","6563","531081","ENSG00000131981","-","153619","37608"
"LIMS1","3987","NC_000002.11","109150857..109303702","HPRD:03978","6616","613268;597715","ENSG00000169756","-","602567","123779"
"LOX","4015","NC_000005.9","121398890..121414055; complement","HPRD:01087","6664","102267","ENSG00000113083","-","153455","1741"
"LRP1","4035","NC_000012.11","57522282..57607142","HPRD:00138","6692","162757","ENSG00000123384","PA233","107770","1744"
"BCAM","4059","NC_000019.9","45312338..45324678","HPRD:00197","6722","625725","ENSG00000187244","-","612773","21149"
"MDM2","4193","NC_000012.11","69201971..69239212","HPRD:01272","6973","484551","ENSG00000135679","-","164785","1793"
"SCGB2A2","4250","NC_000011.9","62037630..62040628","HPRD:05712","7050","46452","ENSG00000110484","-","605562","105651"
"CXCL9","4283","NC_000004.11","76922623..76928641; complement","HPRD:03416","7098","77367","ENSG00000138755","-","601704","1813"
"MLH1","4292","NC_000003.11","37034841..37092337","HPRD:00390","7127","195364","ENSG00000076242","PA240","120436","208"
"MME","4311","NC_000003.11","154797436..154901518","HPRD:00392","7154","307734","ENSG00000196549","PA30864","120520","5275"
"MMP7","4316","NC_000011.9","102391239..102401478; complement","HPRD:01525","7174","2256","ENSG00000137673","-","178990","37619"
"MMP9","4318","NC_000020.10","44637547..44645200","HPRD:00387","7176","297413","ENSG00000100985","-","120361","3659"
"MMP10","4319","NC_000011.9","102641233..102651359; complement","HPRD:01704","7156","2258","ENSG00000166670","-","185260","20546"
"MSX2","4488","NC_000005.9","174151575..174157902","HPRD:00421","7392","89404","ENSG00000120149","-","123101","1837"
"MT1E","4493","NC_000016.9","56659585..56661024","HPRD:01126","7397","534330","ENSG00000169715","-","156351","81614"
"MTHFR","4524","NC_000001.10","11845787..11866160; complement","HPRD:06158","7436","214142","ENSG00000177000","PA245","607093","4349"
"MVD","4597","NC_000016.9","88718348..88729495; complement","HPRD:04454","7529","252457","ENSG00000167508","-","603236","1843"
"NDN","4692","NC_000015.9","23930554..23932450; complement","HPRD:03667","7675","50130","ENSG00000182636","-","602117","20559"
"NDUFA2","4695","NC_000005.9","140024948..140027370; complement","HPRD:11883","7685","534333","ENSG00000131495","-","602137","37628"
"NFE2L2","4780","NC_000002.11","178095033..178129859; complement","HPRD:02732","7782","661872","ENSG00000116044","PA31588","600492","2412"
"NFIB","4781","NC_000009.11","14081842..14398982; complement","HPRD:09008","7785","644095","ENSG00000147862","-","600728","4087"
"NFKB1","4790","NC_000004.11","103422486..103538459","HPRD:01238","7794","618430","ENSG00000109320","PA248","164011","2971"
"NID1","4811","NC_000001.10","236139130..236228481; complement","HPRD:00574","7821","356624","ENSG00000116962","-","131390","1878"
"NME1","4830","NC_000017.10","49230920..49239450","HPRD:01131","7849","463456","ENSG00000239672","PA249","156490","56418"
"NME2","4831","NC_000017.10","49242891..49249105","HPRD:01132","7850","463456","ENSG00000011052","PA250","156491","39553"
"NPR1","4881","NC_000001.10","153651164..153666468","HPRD:00165","7943","490330","ENSG00000169418","-","108960","37367"
"NPTX1","4884","NC_000017.10","78440633..78450404; complement","HPRD:03843","7952","719680;514556","ENSG00000171246","-","602367","1891"
"NT5E","4907","NC_000006.11","86159302..86205498","HPRD:00552","8021","153952","ENSG00000135318","-","129190","1895"
"OGN","4969","NC_000009.11","95146249..95166937; complement","HPRD:03856","8126","109439","ENSG00000106809","-","602383","8542"
"PA2G4","5036","NC_000012.11","56498103..56507694","HPRD:03685","8550","524498;573018","ENSG00000170515","-","602145","4513"
"PAFAHIB3","5050","NC_000019.9","42801185..42806952; complement","HPRD:04354","8576","466831","ENSG00000079462","-","603074","1933"
"SERPINB2","5055","NC_000018.9","61554939..61571124","HPRD:01420","8584","594481","ENSG00000197632","-","173390","20571"
"PAK3","5063","NC_000023.10","110187513..110464173","HPRD:02142","8592","656789","ENSG00000077264","-","300142","55664"
"PAPPA","5069","NC_000009.11","118916071..119164600","HPRD:01448","8602","643599;728832","ENSG00000182752","-","176385","31097"
"PAWR","5074","NC_000012.11","79985745..80084790; complement","HPRD:09051","8614","643130","ENSG00000177425","PA32954","601936","1940"
"PDGFRA","5156","NC_000004.11","55095264..55164412","HPRD:01429","8803","74615","ENSG00000134853","PA33147","173490","31361"
"PDYN","5173","NC_000020.10","1959402..1974891; complement","HPRD:08838","8820","22584","ENSG00000101327","-","131340","10321"
"PEG3","5178","NC_000019.9","57321445..57352094; complement","HPRD:03285","8826","-","ENSG00000198300","-","601483","31363"
"PGGT1B","5229","NC_000005.9","114546527..114598569; complement","HPRD:03612","8895","254006","ENSG00000164219","-","602031","3685"
"PGR","5241","NC_000011.9","100900355..101000544; complement","HPRD:07077","8910","32405","ENSG00000082175","-","607311","713"
"ABCB1","5243","NC_000007.13","87132948..87342564; complement","HPRD:01370","40","489033","ENSG00000085563","PA267","171050","55496"
"PITX1","5307","NC_000005.9","134363424..134369964; complement","HPRD:03688","9004","84136","ENSG00000069011","-","602149","20584"
"PLA2G4A","5321","NC_000001.10","186798032..186958113","HPRD:08986","9035","497200","ENSG00000116711","-","600522","32059"
"PLAG1","5324","NC_000008.10","57073468..57123859; complement","HPRD:04321","9045","14968","ENSG00000181690","-","603026","1993"
"PLAU","5328","NC_000010.10","75670862..75677259","HPRD:01883","9052","77274","ENSG00000122861","-","191840","55670"
"PLAUR","5329","NC_000019.9","44150248..44174502; complement","HPRD:01421","9053","466871","ENSG00000011422","-","173391","48120"
"POLR2H","5437","NC_000003.11","184081194..184086363","HPRD:09082","9195","432574","ENSG00000163882","-","606023","4540"
"PRKAR1B","5575","NC_000007.13","588834..767313; complement","HPRD:01485","9390","520851","ENSG00000188191","-","176911","37665"
"PRKCA","5578","NC_000017.10","64298926..64806862","HPRD:01498","9393","531704;708867","ENSG00000154229","PA33759","176960","55679"
"PRKCD","5580","NC_000003.11","53195223..53226733","HPRD:01501","9399","155342","ENSG00000163932","-","176977","55963"
"MASP1","5648","NC_000003.11","186933873..187009810; complement","HPRD:02749","6901","89983","ENSG00000127241","-","600521","89143"
"KLK6","5653","NC_000019.9","51461887..51472929; complement","HPRD:04037","6367","79361","ENSG00000167755","-","602652","68279"
"HTRA1","5654","NC_000010.10","124221041..124274424","HPRD:03725","9476","50128","ENSG00000166033","-","602194","31114"
"KLK10","5655","NC_000019.9","51516000..51523431; complement","HPRD:04054","6358","275464","ENSG00000129451","-","602673","26428"
"PSMA3","5684","NC_000014.8","58711593..58738726","HPRD:01463","9532","558799","ENSG00000100567","-","176843","2082"
"PTEN","5728","NC_000010.10","89623195..89728532","HPRD:03431","9588","500466","ENSG00000171862","PA33942","601728","265"
"PTGS1","5742","NC_000009.11","125133229..125157981","HPRD:07518","9604","201978","ENSG00000095303","PA24346","176805","743"
"PTGS2","5743","NC_000001.10","186640944..186649559; complement","HPRD:02599","9605","196384","ENSG00000073756","PA293","600262","31000"
"PTPRC","5788","NC_000001.10","198608137..198726545","HPRD:01050","9666","654514","ENSG00000081237","PA34011","151460","2126"
"RAB2A","5862","NC_000008.10","61429559..61533629","HPRD:01539","9763","369017","ENSG00000104388","-","179509","20628"
"RAD51","5888","NC_000015.9","40987327..41024356","HPRD:01557","9817","631709","ENSG00000051180","-","179617","2155"
"RARRES1","5918","NC_000003.11","158414897..158450275; complement","HPRD:05477","9867","131269","ENSG00000118849","-","605090","2166"
"RBP1","5947","NC_000003.11","139236276..139258671; complement","HPRD:07036","9919","529571","ENSG00000114115","-","180260","2175"
"RORB","6096","NC_000009.11","77112252..77302117","HPRD:09062","10259","494178","ENSG00000198963","-","601972","38250"
"RP54X","6191","NC_000023.10","71492453..71497141; complement","HPRD:02427","10424","118076","ENSG00000198034","-","312760","90857"
"RPS6KB1","6198","NC_000017.10","57970443..58027787","HPRD:10202","10436","463642","ENSG00000108443","-","608938","81703"
"RPS6KB2","6199","NC_000011.9","67195935..67202879","HPRD:10203","10437","534345","ENSG00000175634","-","608939","68374"
"S100A2","6273","NC_000001.10","153533584..153538306; complement","HPRD:01508","10492","516484","ENSG00000196754","-","176993","48389"
"S100A4","6275","NC_000001.10","153516095..153518282; complement","HPRD:15914","10494","654444","ENSG00000196154","-","114210","7924"
"SAA1","6288","NC_000011.9","18287808..18291524","HPRD:00097","10513","632144","ENSG00000173432","PA34921","104750","81819"
"SAA2","6289","NC_000011.9","18260588..18270182; complement","HPRD:00098","10514","1955","ENSG00000134339","PA34922","104751","117956"
"SAT1","6303","NC_000023.10","23801275..23804327","HPRD:02431","10540","28491","ENSG00000130066","-","313020","37716"
"CCL2","6347","NC_000017.10","32582296..32584222","HPRD:01149","10618","303649","ENSG00000108691","PA130413151","158105","2245"
"CCL20","6364","NC_000002.11","228678558..228682280","HPRD:03571","10619","75498","ENSG00000115009","-","601960","3375"
"CXCL5","6374","NC_000004.11","74861359..74864416; complement","HPRD:08976","10642","89714","ENSG00000163735","-","600324","88672"
"SDC1","6382","NC_000002.11","20400558..20425194; complement","HPRD:01718","10658","665958;224607","ENSG00000115884","PA35588","186355","2252"
"CXCL12","6387","NC_000010.10","44865605..44880545; complement","HPRD:02904","10672","522891","ENSG00000107562","-","600835","507"
"SELP","6403","NC_000001.10","169558087..169599377; complement","HPRD:01433","10721","73800","ENSG00000174175","-","173610","2260"
"SFRS3","6428","NC_000006.11","36562090..36572244","HPRD:04530","10785","405144","ENSG00000112081","-","603364","55708"
"SHBG","6462","NC_000017.10","7517382..7536700","HPRD:01646","10839","632235","ENSG00000129214","-","182205","813"
"ST6GAL1","6480","NC_000003.11","186648315..186796341","HPRD:00184","10860","207459","ENSG00000073849","-","109675","2281"
"SKP2","6502","NC_000005.9","36152189..36184147","HPRD:03256","10901","23348","ENSG00000145604","-","601436","55942"
"SLC2A5","6518","NC_000001.10","9097005..9148510; complement","HPRD:00690","11010","530003","ENSG00000142583","PA35880","138230","74459"
"SNAPC1","6617","NC_000014.8","62229075..62263146","HPRD:08998","11134","179312","ENSG00000023608","-","600591","2317"
"SOX2","6657","NC_000003.11","181429722..181432224","HPRD:08921","11195","518438","ENSG00000181449","-","184429","68298"
"SPP1","6696","NC_000004.11","88896802..88904563","HPRD:01325","11255","313","ENSG00000118785","-","166490","20156"
"SRC","6714","NC_000020.10","35973088..36033821","HPRD:01819","11283","195659","ENSG00000197122","-","190090","21120"
"SLC18A2","6751","NC_000014.8","38677204..38682268","HPRD:01673","11330","248160","ENSG00000139874","-","182451","820"
"SULT1E1","6783","NC_000004.11","70706930..70725870; complement","HPRD:08966","11377","479898","ENSG00000109193","PA340","600043","121607"
"STK11","6794","NC_000019.9","1205798..1228434","HPRD:03740","11389","515005","ENSG00000118046","-","602216","393"
"SULT1A1","6817","NC_000016.9","28616913..28634866; complement","HPRD:01372","11453","567342","ENSG00000196502","PA343","171150","68152"
"TCEB3","6924","NC_000001.10","24069856..24088549","HPRD:02873","11620","15535","ENSG00000011007","-","600786","37746"
"TBX3","6926","NC_000012.11","115108059..115121969; complement","HPRD:03373","11602","129895","ENSG00000135111","-","601621","4371"
"ZEB1","6935","NC_000010.10","31608101..31818742","HPRD:01798","11642","124503","ENSG00000148516","-","189909","31779"
"TFAM","7019","NC_000010.10","60145176..60155897","HPRD:02702","11741","642966","ENSG00000108064","-","600438","31139"
"TFAP2A","7020","NC_000006.11","10396916..10419797; complement","HPRD:00128","11742","519880","ENSG00000137203","-","107580","2421"
"TFF1","7031","NC_000021.8","43782391..43786644; complement","HPRD:00219","11755","162807","ENSG00000160182","-","113710","2426"
"TFF3","7033","NC_000021.8","43731777..43735706; complement","HPRD:02797","11757","82961","ENSG00000160180","-","600633","2427"
"THBS2","7058","NC_000006.11","169615875..169654137; complement","HPRD:01766","11786","371147","ENSG00000186340","-","188061","2438"
"THRB","7068","NC_000003.11","24158644..24536313; complement","HPRD:07521","11799","187861;728126","ENSG00000151090","-","190160","36025"
"TIMP1","7076","NC_000023.10","47441690..47446190","HPRD:02371","11820","522632","ENSG00000102265","-","305370","36321"
