"Gene_Name","Gene_ID","Protein_ID","SwissProt_ID","PDB_ID","Method","Resolution","Chain","Position"
"AR","367","NP_001011645.1","P10275","2PIV","X-ray","1.95","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIW","X-ray","2.58","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIX","X-ray","2.40","A","669-919"
"AR","367","NP_001011645.1","P10275","2PKL","X-ray","2.49","A","669-919"
"AR","367","NP_001011645.1","P10275","2PNU","X-ray","1.65","A","654-919"
"AR","367","NP_001011645.1","P10275","2Q7I","X-ray","1.87","A","663-919"
"AR","367","NP_001011645.1","P10275","2Q7I","X-ray","1.87","B","20-30"
"AR","367","NP_001011645.1","P10275","2Q7J","X-ray","1.90","A","663-919"
"AR","367","NP_001011645.1","P10275","2Q7K","X-ray","1.80","A","663-919"
"AR","367","NP_001011645.1","P10275","2Q7K","X-ray","1.80","B","20-30"
"AR","367","NP_001011645.1","P10275","2Q7L","X-ray","1.92","A","663-919"
"AR","367","NP_001011645.1","P10275","2Z4J","X-ray","2.60","A","671-918"
"AR","367","NP_001011645.1","P10275","3B5R","X-ray","1.80","A","671-919"
"AR","367","NP_001011645.1","P10275","3B65","X-ray","1.80","A","671-919"
"AR","367","NP_001011645.1","P10275","3B66","X-ray","1.65","A","671-919"
"AR","367","NP_001011645.1","P10275","3B67","X-ray","1.90","A","671-919"
"AR","367","NP_001011645.1","P10275","3B68","X-ray","1.90","A","671-919"
"AR","367","NP_001011645.1","P10275","3BTR","X-ray","2.60","B","621-635"
"AR","367","NP_001011645.1","P10275","3L3X","X-ray","1.55","A","670-918"
"AR","367","NP_001011645.1","P10275","3L3Z","X-ray","2.00","A","670-918"
"AREG","374","NP_001648.1","P15514","2RNL","NMR","0.00","A","142-184"
"ARL4A","10124","NP_001032241.1","P40617","-","-","0.00","-","-"
"ARL4A","10124","NP_001182325.1","P40617","-","-","0.00","-","-"
"ARL4A","10124","NP_005729.1","P40617","-","-","0.00","-","-"
"ARL4A","10124","NP_997625.1","P40617","-","-","0.00","-","-"
"ASRGL1","80150","NP_001077395.1","Q7L266","-","-","0.00","-","-"
"ASRGL1","80150","NP_079356.3","Q7L266","-","-","0.00","-","-"
"ATAD2","29028","NP_054828.2","Q6PL18","3DAI","X-ray","1.95","A","981-1108"
"ATP2C2","9914","NP_055676.2","O75185","-","-","0.00","-","-"
"ATP8A2","51761","NP_057613.4","Q9NTI2","-","-","0.00","-","-"
"ATP8B2","57198","NP_001005855.1","P98198","-","-","0.00","-","-"
"ATP8B2","57198","NP_065185.1","P98198","-","-","0.00","-","-"
"ATP9B","374868","NP_940933.3","O43861","-","-","0.00","-","-"
"ATR","545","NP_002297.2","P17931","1A3K","X-ray","2.10","A","114-250"
"ATR","545","NP_002297.2","P17931","1KJL","X-ray","1.40","A","105-249"
"ATR","545","NP_002297.2","P17931","1KJR","X-ray","1.55","A","105-249"
"ATR","545","NP_002297.2","P17931","2NMN","X-ray","2.45","A","113-249"
"ATR","545","NP_002297.2","P17931","2NMO","X-ray","1.35","A","113-249"
"ATR","545","NP_002297.2","P17931","2NN8","X-ray","1.35","A","113-249"
"ATR","545","NP_002297.2","P17931","2XG3","X-ray","1.20","A","114-250"
"B3GAT3","26229","NP_036332.2","O94766","1FGG","X-ray","2.30","A/B","76-335"
"B3GAT3","26229","NP_036332.2","O94766","1KWS","X-ray","2.10","A/B","76-335"
"B3GAT3","26229","NP_036332.2","O94766","3CU0","X-ray","1.90","A/B","76-335"
"BAMBI","25805","NP_036474.1","Q13145","-","-","0.00","-","-"
"BCAM","4059","NP_001013275.1","P50895","2PET","X-ray","1.70","A","32-262"
"BCAM","4059","NP_001013275.1","P50895","2PF6","X-ray","2.20","A/B","32-262"
"BCAM","4059","NP_005572.2","P50895","2PET","X-ray","1.70","A","32-262"
"BCAM","4059","NP_005572.2","P50895","2PF6","X-ray","2.20","A/B","32-262"
"BCL2L1","598","NP_001182.1","Q07817","1BXL","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1G5J","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1LXL","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1MAZ","X-ray","2.20","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1R2D","X-ray","1.95","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","1R2E","X-ray","2.10","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","1R2G","X-ray","2.70","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","1R2H","X-ray","2.20","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","1R2I","X-ray","2.00","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","1YSG","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1YSI","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","1YSN","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","2B48","X-ray","3.45","A","1-211"
"BCL2L1","598","NP_001182.1","Q07817","2O1Y","NMR","0.00","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","2O2M","NMR","0.00","A","2-196"
"BCL2L1","598","NP_001182.1","Q07817","2O2N","NMR","0.00","A","2-196"
"BCL2L1","598","NP_001182.1","Q07817","2P1L","X-ray","2.50","A/C/E/G","1-209"
"BCL2L1","598","NP_001182.1","Q07817","2PON","NMR","0.00","B","1-196"
"BCL2L1","598","NP_001182.1","Q07817","2YXJ","X-ray","2.20","A/B","1-209"
"BCL2L1","598","NP_001182.1","Q07817","3CVA","X-ray","2.70","X","1-211"
"BCL2L1","598","NP_001182.1","Q07817","3FDL","X-ray","1.78","A","1-209"
"BCL2L1","598","NP_001182.1","Q07817","3FDM","X-ray","2.26","A/B/C","1-209"
"BCL2L1","598","NP_001182.1","Q07817","3INQ","X-ray","2.00","A/B","1-209"
"BCL2L1","598","NP_001182.1","Q07817","3IO8","X-ray","2.30","A/C","1-209"
"BCL2L1","598","NP_001182.1","Q07817","3PL7","X-ray","2.61","A/B","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1BXL","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1G5J","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1LXL","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1MAZ","X-ray","2.20","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1R2D","X-ray","1.95","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","1R2E","X-ray","2.10","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","1R2G","X-ray","2.70","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","1R2H","X-ray","2.20","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","1R2I","X-ray","2.00","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","1YSG","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1YSI","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","1YSN","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","2B48","X-ray","3.45","A","1-211"
"BCL2L1","598","NP_612815.1","Q07817","2O1Y","NMR","0.00","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","2O2M","NMR","0.00","A","2-196"
"BCL2L1","598","NP_612815.1","Q07817","2O2N","NMR","0.00","A","2-196"
"BCL2L1","598","NP_612815.1","Q07817","2P1L","X-ray","2.50","A/C/E/G","1-209"
"BCL2L1","598","NP_612815.1","Q07817","2PON","NMR","0.00","B","1-196"
"BCL2L1","598","NP_612815.1","Q07817","2YXJ","X-ray","2.20","A/B","1-209"
"BCL2L1","598","NP_612815.1","Q07817","3CVA","X-ray","2.70","X","1-211"
"BCL2L1","598","NP_612815.1","Q07817","3FDL","X-ray","1.78","A","1-209"
"BCL2L1","598","NP_612815.1","Q07817","3FDM","X-ray","2.26","A/B/C","1-209"
"BCL2L1","598","NP_612815.1","Q07817","3INQ","X-ray","2.00","A/B","1-209"
"BCL2L1","598","NP_612815.1","Q07817","3IO8","X-ray","2.30","A/C","1-209"
"BCL2L1","598","NP_612815.1","Q07817","3PL7","X-ray","2.61","A/B","1-209"
"BEX5","340542","NP_001012996.1","Q5H9J7","-","-","0.00","-","-"
"BEX5","340542","NP_001153032.1","Q5H9J7","-","-","0.00","-","-"
"BIRC5 ","332","NP_001012270.1","O15392","1E31","X-ray","2.71","A/B","1-142"
"BIRC5 ","332","NP_001012270.1","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5 ","332","NP_001012270.1","O15392","1XOX","NMR","0.00","A/B","1-117"
"BIRC5 ","332","NP_001012270.1","O15392","2QFA","X-ray","1.40","A","1-142"
"BIRC5 ","332","NP_001012270.1","O15392","2RAW","X-ray","2.40","A","1-142"
"BIRC5 ","332","NP_001012270.1","O15392","2RAX","X-ray","3.30","A/E/X","1-120"
"BIRC5 ","332","NP_001012271.1","O15392","1E31","X-ray","2.71","A/B","1-142"
"BIRC5 ","332","NP_001012271.1","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5 ","332","NP_001012271.1","O15392","1XOX","NMR","0.00","A/B","1-117"
"BIRC5 ","332","NP_001012271.1","O15392","2QFA","X-ray","1.40","A","1-142"
"BIRC5 ","332","NP_001012271.1","O15392","2RAW","X-ray","2.40","A","1-142"
"BIRC5 ","332","NP_001012271.1","O15392","2RAX","X-ray","3.30","A/E/X","1-120"
"BIRC5 ","332","NP_001159.2","O15392","1E31","X-ray","2.71","A/B","1-142"
"BIRC5 ","332","NP_001159.2","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5 ","332","NP_001159.2","O15392","1XOX","NMR","0.00","A/B","1-117"
"BIRC5 ","332","NP_001159.2","O15392","2QFA","X-ray","1.40","A","1-142"
"BIRC5 ","332","NP_001159.2","O15392","2RAW","X-ray","2.40","A","1-142"
"BIRC5 ","332","NP_001159.2","O15392","2RAX","X-ray","3.30","A/E/X","1-120"
"BRAF","673","NP_004324.2","P15056","1UWH","X-ray","2.95","A/B","448-723"
"BRAF","673","NP_004324.2","P15056","1UWJ","X-ray","3.50","A/B","448-723"
"BRAF","673","NP_004324.2","P15056","2FB8","X-ray","2.90","A/B","445-723"
"BRAF","673","NP_004324.2","P15056","2L05","NMR","0.00","A","149-232"
"BRAF","673","NP_004324.2","P15056","3C4C","X-ray","2.57","A/B","444-719"
"BRAF","673","NP_004324.2","P15056","3C4D","X-ray","2.65","A/B","444-719"
"BRAF","673","NP_004324.2","P15056","3D4Q","X-ray","2.80","A/B","433-726"
"BRAF","673","NP_004324.2","P15056","3IDP","X-ray","2.70","A/B","434-727"
"BRAF","673","NP_004324.2","P15056","3II5","X-ray","2.79","A/B","432-726"
"BRAF","673","NP_004324.2","P15056","3NY5","X-ray","1.99","A/B/C/D","153-237"
"BRAF","673","NP_004324.2","P15056","3PPJ","X-ray","3.70","A/B","432-726"
"BRAF","673","NP_004324.2","P15056","3PPK","X-ray","3.00","A/B","432-726"
"BRAF","673","NP_004324.2","P15056","3PRF","X-ray","2.90","A/B","432-726"
"BRAF","673","NP_004324.2","P15056","3PRI","X-ray","3.50","A/B","432-726"
"BRAF","673","NP_004324.2","P15056","3PSB","X-ray","3.40","A/B","433-726"
"BST2","684","NP_004326.1","Q10589","2X7A","X-ray","2.77","A/B/C/D/E/F/G/H/I/J/","87-147"
"BST2","684","NP_004326.1","Q10589","2XG7","X-ray","3.45","A/C","51-151"
"BST2","684","NP_004326.1","Q10589","3MQ7","X-ray","2.28","A/B/C/D/E/F/G/H/I/J/","47-161"
"BST2","684","NP_004326.1","Q10589","3MQ9","X-ray","2.80","A/B/C/D/E/F/G/H","66-139"
"BST2","684","NP_004326.1","Q10589","3MQB","X-ray","3.20","A/B/E/F","47-161"
"BST2","684","NP_004326.1","Q10589","3MQC","X-ray","2.80","A/B/C/D","47-161"
"BST2","684","NP_004326.1","Q10589","3NWH","X-ray","2.60","A/B/C/D","47-152"
"BTN2A1","11120","NP_001184162.1","Q7KYR7","-","-","0.00","-","-"
"BTN2A1","11120","NP_001184163.1","-","-","-","0.00","-","-"
"BTN2A1","11120","NP_008980.1","Q7KYR7","-","-","0.00","-","-"
"BTN2A1","11120","NP_510961.1","Q96AV7","-","-","0.00","-","-"
"C19ORF33","64073","NP_277055.1","Q9GZP8","-","-","0.00","-","-"
"C1QTNF3","114899","NP_112207.1","Q9BXJ4","-","-","0.00","-","-"
"C1QTNF3","114899","NP_852100.3","-","-","-","0.00","-","-"
"C20orf32","25927","NP_001104571.1","Q96F85","-","-","0.00","-","-"
"C20orf32","25927","NP_056278.1","Q96F85","-","-","0.00","-","-"
"C8A","731","NP_000553.1","P07357","2QOS","X-ray","1.81","A","188-198"
"C8A","731","NP_000553.1","P07357","2QQH","X-ray","2.50","A","133-492"
"C8A","731","NP_000553.1","P07357","2RD7","X-ray","2.15","A","133-492"
"CAPG","822","NP_001738.2","P40121","1J72","X-ray","2.50","A","1-348"
"CAPG","822","NP_001738.2","P40121","1JHW","X-ray","2.80","A","1-348"
"CAPZA1","829","NP_006126.1","P52907","1MQ1","NMR","0.00","C/D","265-276"
"CAPZA1","829","NP_006126.1","P52907","1MWN","NMR","0.00","X/Y","265-276"
