"Gene_Name","Gene_ID","Protein_ID","Domain_No","Range","Superfamily","Family"
"ATP8B2","57198","NP_001005855.1","1","28-116;260-354","Calcium ATPase; transmembrane domain M","Calcium ATPase; transmembrane domain M"
"ATP8B2","57198","NP_065185.1","4","145-216;251-291","Calcium ATPase; transduction domain A","Calcium ATPase; transduction domain A"
"ATP8B2","57198","NP_065185.1","3","430-642","Metal cation-transporting ATPase; ATP-binding domain N","Metal cation-transporting ATPase; ATP-binding domain N"
"ATP8B2","57198","NP_065185.1","2","418-434;617-723;801-","HAD-like","Meta-cation ATPase; catalytic domain P"
"ATP8B2","57198","NP_065185.1","1","61-149;293-417;894-1","Calcium ATPase; transmembrane domain M","Calcium ATPase; transmembrane domain M"
"ATP9B","374868","NP_940933.3","3","224-284;323-358","Calcium ATPase; transduction domain A","Calcium ATPase; transduction domain A"
"ATP9B","374868","NP_940933.3","4","472-504;539-742","Metal cation-transporting ATPase; ATP-binding domain N","Metal cation-transporting ATPase; ATP-binding domain N"
"ATP9B","374868","NP_940933.3","2","455-478;687-792;846-","HAD-like","Meta-cation ATPase; catalytic domain P"
"ATP9B","374868","NP_940933.3","1","126-217;364-460;921-","Calcium ATPase; transmembrane domain M","Calcium ATPase; transmembrane domain M"
"ATR","545","NP_001175.2","2","236-359;581-1084;114","ARM repeat","HEAT repeat"
"ATR","545","NP_001175.2","4","1709-1733;1910-1987","TPR-like","Tetratricopeptide repeat (TPR)"
"ATR","545","NP_001175.2","3","1235-1253;1282-1492;","ARM repeat","RPA1889-like"
"ATR","545","NP_001175.2","1","2221-2399;2431-2567","Protein kinase-like (PK-like)","Phoshoinositide 3-kinase (PI3K); catalytic domain"
"B3GAT3","26229","NP_036332.2","1","75-334","Nucleotide-diphospho-sugar transferases","1;3-glucuronyltransferase"
"BAMBI","25805","NP_036474.1","1","242-333","Winged helix DNA-binding domain","ets domain"
"BCAM","4059","NP_001013275.1","2","35-150","Immunoglobulin","I set domains"
"BCAM","4059","NP_001013275.1","5","143-242","Immunoglobulin","I set domains"
"BCAM","4059","NP_001013275.1","3","276-359","Immunoglobulin","I set domains"
"BCAM","4059","NP_001013275.1","1","371-449","Immunoglobulin","I set domains"
"BCAM","4059","NP_001013275.1","4","460-537","Immunoglobulin","I set domains"
"BCAM","4059","NP_005572.2","2","35-150","Immunoglobulin","I set domains"
"BCAM","4059","NP_005572.2","5","143-242","Immunoglobulin","C2 set domains"
"BCAM","4059","NP_005572.2","3","276-359","Immunoglobulin","I set domains"
"BCAM","4059","NP_005572.2","1","371-449","Immunoglobulin","I set domains"
"BCAM","4059","NP_005572.2","4","460-537","Immunoglobulin","I set domains"
"BCL2L1","598","NP_001182.1","1","1-124","Bcl-2 inhibitors of programmed cell death","Bcl-2 inhibitors of programmed cell death"
"BCL2L1","598","NP_612815.1","1","1-207","Bcl-2 inhibitors of programmed cell death","Bcl-2 inhibitors of programmed cell death"
"BEX5","340542","NP_001012996.1","0","-","-","-"
"BEX5","340542","NP_001153032.1","0","-","-","-"
"BIRC5","332","NP_001012270.1","1","7-75","Inhibitor of apoptosis (IAP) repeat","Inhibitor of apoptosis (IAP) repeat"
"BIRC5","332","NP_001012271.1","1","7-74","Inhibitor of apoptosis (IAP) repeat","Inhibitor of apoptosis (IAP) repeat"
"BIRC5","332","NP_001012271.1","2","97-153","Inhibitor of apoptosis (IAP) repeat","Inhibitor of apoptosis (IAP) repeat"
"BIRC5","332","NP_001159.2","1","7-130","Inhibitor of apoptosis (IAP) repeat","Inhibitor of apoptosis (IAP) repeat"
"BRAF","673","NP_004324.2","2","155-227","Ubiquitin-like","Ras-binding domain; RBD"
"BRAF","673","NP_004324.2","3","227-280","Cysteine-rich domain","Protein kinase cysteine-rich domain (cys2; phorbol-binding domain)"
"BRAF","673","NP_004324.2","1","449-717","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"BST2","684","NP_004326.1","0","-","-","-"
"BTN2A1","11120","NP_001184162.1","2","2-81","Immunoglobulin","V set domains (antibody variable domain-like)"
"BTN2A1","11120","NP_001184162.1","3","97-169","Immunoglobulin","C1 set domains (antibody constant domain-like)"
"BTN2A1","11120","NP_001184162.1","1","259-440","Concanavalin A-like lectins/glucanases","SPRY domain"
"BTN2A1","11120","NP_001184163.1","1","30-142","Immunoglobulin","V set domains (antibody variable domain-like)"
"BTN2A1","11120","NP_001184163.1","2","158-230","Immunoglobulin","C1 set domains (antibody constant domain-like)"
"BTN2A1","11120","NP_008980.1","2","30-142","Immunoglobulin","V set domains (antibody variable domain-like)"
"BTN2A1","11120","NP_008980.1","3","158-230","Immunoglobulin","C1 set domains (antibody constant domain-like)"
"BTN2A1","11120","NP_008980.1","1","320-501","Concanavalin A-like lectins/glucanases","SPRY domain"
"BTN2A1","11120","NP_510961.1","1","30-142","Immunoglobulin","V set domains (antibody variable domain-like)"
"BTN2A1","11120","NP_510961.1","2","158-230","Immunoglobulin","C1 set domains (antibody constant domain-like)"
"C19ORF33","64073","NP_277055.1","0","-","-","-"
"C1QTNF3","114899","NP_112207.1","1","116-244","TNF-like","TNF-like"
"C1QTNF3","114899","NP_852100.3","1","189-317","TNF-like","TNF-like"
"C20orf32","25927","NP_001104571.1","0","-","-","-"
"C20orf32","25927","NP_056278.1","0","-","-","-"
"C8A","731","NP_000553.1","3","37-84","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"C8A","731","NP_000553.1","2","74-142;193-206;492-5","Growth factor receptor domain","Growth factor receptor domain"
"C8A","731","NP_000553.1","1","539-584","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"C8A","731","NP_000553.1","3","37-84","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"C8A","731","NP_000553.1","2","74-142;193-206;492-5","Growth factor receptor domain","Growth factor receptor domain"
"C8A","731","NP_000553.1","1","539-584","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"CAPG","822","NP_001738.2","1","17-147","Actin depolymerizing proteins","Gelsolin-like"
"CAPG","822","NP_001738.2","2","134-238","Actin depolymerizing proteins","Gelsolin-like"
"CAPG","822","NP_001738.2","3","244-347","Actin depolymerizing proteins","Gelsolin-like"
"CAPZA1","829","NP_006126.1","1","8-281","Subunits of heterodimeric actin filament capping protein Capz","Capz alpha-1 subunit"
"CASC2","255082","-","0","-","-","-"
"CASP3","836","NP_004337.2","1","36-276","Caspase-like","Caspase catalytic domain"
"CASP3","836","NP_116786.1","1","36-276","Caspase-like","Caspase catalytic domain"
"CASP7","840","NP_001218.1","1","58-301","Caspase-like","Caspase catalytic domain"
"CASP7","840","NP_203124.1","1","91-334","Caspase-like","Caspase catalytic domain"
"CASP7","840","NP_203125.1","1","58-301","Caspase-like","Caspase catalytic domain"
"CASP7","840","NP_203126.1","1","56-149","Caspase-like","Caspase catalytic domain"
"CCL2","6347","NP_002973.1","1","27-98","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CCL20","6364","NP_001123518.1","1","26-94","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CCL20","6364","NP_004582.1","1","28-95","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CCNA2","890","NP_001228.1","1","175-306","Cyclin-like","Cyclin"
"CCNA2","890","NP_001228.1","2","309-430","Cyclin-like","Cyclin"
"CCND1","595","NP_444284.1","1","21-152","Cyclin-like","Cyclin"
"CCND1","595","NP_444284.1","2","154-255","Cyclin-like","Cyclin"
"CCNE1","898","NP_001229.1","2","243-372","Cyclin-like","Cyclin"
"CCNE1","898","NP_001229.1","1","108-241","Cyclin-like","Cyclin"
"CCNE1","898","NP_476530.1","2","93-226","Cyclin-like","Cyclin"
"CCNE1","898","NP_476530.1","1","228-357","Cyclin-like","Cyclin"
"CCR2","729230","NP_001116513.2","1","30-327","Family A G protein-coupled receptor-like","Rhodopsin-like"
"CCR2","729230","NP_001116868.1","1","30-346","Family A G protein-coupled receptor-like","Rhodopsin-like"
"CD24","100133941","NP_037362.1","0","-","-","-"
"CD248","57124","NP_065137.1","1","31-163","C-type lectin-like","C-type lectin domain"
"CD248","57124","NP_065137.1","2","233-352","Growth factor receptor domain","Growth factor receptor domain"
"CD44","960","NP_000601.3","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001001389.1","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001001390.1","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001001391.1","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001001392.1","1","21-89","C-type lectin-like","Link domain"
"CD44","960","NP_001189484.1","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001189485.1","1","21-167","C-type lectin-like","Link domain"
"CD44","960","NP_001189486.1","1","21-167","C-type lectin-like","Link domain"
"CD69","969","NP_001772.1","1","21-167","C-type lectin-like","Link domain"
"CDC20B","166979","NP_001139206.2","1","230-475","WD40 repeat-like","WD40 repeat-like"
"CDC20B","166979","NP_001163873.1","1","230-518","WD40 repeat-like","WD40 repeat-like"
"CDC20B","166979","NP_689836.2","1","230-514","WD40 repeat-like","WD40 repeat-like"
"CDC25B","994","NP_004349.1","1","375-550","Rhodanese/Cell cycle control phosphatase","Cell cycle control phosphatase; catalytic domain"
"CDC25B","994","NP_068658.1","1","348-523","Rhodanese/Cell cycle control phosphatase","Cell cycle control phosphatase; catalytic domain"
"CDC25B","994","NP_068659.1","1","389-564","Rhodanese/Cell cycle control phosphatase","Cell cycle control phosphatase; catalytic domain"
"CDCP1","64866","NP_073753.3","1","232-274","Spermadhesin; CUB domain","Spermadhesin; CUB domain"
"CDCP1","64866","NP_835488.1","1","232-274","Spermadhesin; CUB domain","Spermadhesin; CUB domain"
"CDH1","999","NP_004351.1","2","27-173","Cadherin-like","Cadherin"
"CDH1","999","NP_004351.1","5","159-254","Cadherin-like","Cadherin"
"CDH1","999","NP_004351.1","1","250-387","Cadherin-like","Cadherin"
"CDH1","999","NP_004351.1","4","369-480","Cadherin-like","Cadherin"
"CDH1","999","NP_004351.1","3","369-480","Cadherin-like","Cadherin"
"CDH1","999","NP_004351.1","6","589-691","Cadherin-like","Cadherin"
"CDH3","1001","NP_001784.2","4","111-207","Cadherin-like","Cadherin"
"CDH3","1001","NP_001784.2","1","209-320","Cadherin-like","Cadherin"
"CDH3","1001","NP_001784.2","2","322-434","Cadherin-like","Cadherin"
"CDH3","1001","NP_001784.2","3","429-556","Cadherin-like","Cadherin"
"CDH3","1001","NP_001784.2","5","542-644","Cadherin-like","Cadherin"
"CDH6","1004","NP_004923.1","5","77-159","Cadherin-like","Cadherin"
"CDH6","1004","NP_004923.1","1","152-260","Cadherin-like","Cadherin"
"CDH6","1004","NP_004923.1","2","261-377","Cadherin-like","Cadherin"
"CDH6","1004","NP_004923.1","3","372-489","Cadherin-like","Cadherin"
"CDH6","1004","NP_004923.1","4","481-589","Cadherin-like","Cadherin"
"CDK4","1019","NP_000066.1","1","3-297","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"CDKN1A","1026","NP_000380.1","0","-","-","-"
"CDKN1A","1026","NP_510867.1","0","-","-","-"
"CDKN1B","1027","NP_004055.1","0","-","-","-"
"CDKN2A","1029","NP_000068.1","1","21-136","Ankyrin repeat","Ankyrin repeat"
"CDKN2A","1029","NP_001182061.1","1","21-137","Ankyrin repeat","Ankyrin repeat"
"CDKN2A","1029","NP_478102.2","0","-","-","-"
"CDKN2A","1029","NP_478104.2","1","13-52","Ankyrin repeat","Ankyrin repeat"
"CDKN3","1033","NP_001124323.1","1","11-156","(Phosphotyrosine protein) phosphatases II","Dual specificity phosphatase-like"
"CDKN3","1033","NP_005183.2","1","27-196","(Phosphotyrosine protein) phosphatases II","Dual specificity phosphatase-like"
"CDR2L","30850","NP_055418.2","0","32-136","Methyl-accepting chemotaxis protein (MCP) signaling domain","Methyl-accepting chemotaxis protein (MCP) signaling domain"
"CEACAM1","634","NP_001020083.1","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001020083.1","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001020083.1","4","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001020083.1","3","324-411","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171742.1","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001171742.1","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171742.1","4","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171742.1","3","324-411","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171744.1","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001171744.1","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171744.1","3","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171745.1","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001171745.1","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001171745.1","3","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001192273.1","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001192273.1","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001192273.1","4","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001192273.1","3","324-411","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001703.2","1","35-141","Immunoglobulin","V set domains (antibody variable domain-like)"
"CEACAM1","634","NP_001703.2","2","143-234","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001703.2","4","237-319","Immunoglobulin","I set domains"
"CEACAM1","634","NP_001703.2","3","324-411","Immunoglobulin","I set domains"
"CEP290","80184","NP_079390.3","0","-","-","-"
"CLDN1","9076","NP_066924.1","0","-","-","-"
"CLMP","79827","NP_079045.1","1","26-132","Immunoglobulin","V set domains (antibody variable domain-like)"
"CLMP","79827","NP_079045.1","2","128-228","Immunoglobulin","I set domains"
"CMTM8","152189","NP_849199.2","0","-","-","-"
"CNR2","1269","NP_001832.1","1","11-323","Family A G protein-coupled receptor-like","Rhodopsin-like"
"CNTF","1270","NP_000605.1","1","11-185","4-helical cytokines","Long-chain cytokines"
"CNTF","1270","NP_000605.1","1","11-185","4-helical cytokines","Long-chain cytokines"
"COL3A1","1281","NP_000081.1","1","30-90","FnI-like domain","VWC domain"
"COL4A5","1287","NP_000486.1","2","1460-1569","C-type lectin-like","Noncollagenous (NC1) domain of collagen IV"
"COL4A5","1287","NP_000486.1","1","1572-1684","C-type lectin-like","Noncollagenous (NC1) domain of collagen IV"
"COL4A5","1287","NP_203699.1","2","1466-1575","C-type lectin-like","Noncollagenous (NC1) domain of collagen IV"
"COL4A5","1287","NP_203699.1","1","1578-1690","C-type lectin-like","Noncollagenous (NC1) domain of collagen IV"
"COLEC11","78989","NP_076932.1","1","149-268","C-type lectin-like","C-type lectin domain"
"COLEC11","78989","NP_954705.1","1","146-265","C-type lectin-like","C-type lectin domain"
"COPS2","9318","NP_001137359.1","2","137-193;240-351","TPR-like","Tetratricopeptide repeat (TPR)"
"COPS2","9318","NP_001137359.1","1","346-422","Winged helix DNA-binding domain","PCI domain (PINT motif)"
"COPS2","9318","NP_004227.1","2","123-186;233-344","TPR-like","Tetratricopeptide repeat (TPR)"
"COPS2","9318","NP_004227.1","1","339-415","Winged helix DNA-binding domain","PCI domain (PINT motif)"
"COX7A1","1346","NP_001855.1","1","22-78","Mitochondrial cytochrome c oxidase subunit VIIa","Mitochondrial cytochrome c oxidase subunit VIIa"
"CRABP2","1382","NP_001186652.1","1","3-137","Lipocalins","Fatty acid binding protein-like"
"CRABP2","1382","NP_001869.1","1","3-137","Lipocalins","Fatty acid binding protein-like"
"CREB1","1385","NP_004370.1","1","271-322","Leucine zipper domain","Leucine zipper domain"
"CREB1","1385","NP_604391.1","1","285-336","Leucine zipper domain","Leucine zipper domain"
"CREB1","1385","NP_004370.1","1","271-322","Leucine zipper domain","Leucine zipper domain"
"CREB1","1385","NP_604391.1","1","285-336","Leucine zipper domain","Leucine zipper domain"
"CRISPLD2","83716","NP_113664.1","1","37-215","PR-1-like","PR-1-like"
"CRISPLD2","83716","NP_113664.1","2","284-382","LCCL domain","LCCL domain"
"CRISPLD2","83716","NP_113664.1","3","386-491","LCCL domain","LCCL domain"
"CSNK2B","1460","NP_001311.3","1","6-201","Casein kinase II beta subunit","Casein kinase II beta subunit"
"CTHRC1","115908","NP_612464.1","0","-","-","-"
"CTNNB1","1499","NP_001091679.1","1","135-664","ARM repeat","Armadillo repeat"
"CTNNB1","1499","NP_001091680.1","1","135-664","ARM repeat","Armadillo repeat"
"CTNNB1","1499","NP_001895.1","1","135-664","ARM repeat","Armadillo repeat"
"CTNND1","1500","NP_001078927.1","1","367-601;653-838","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078928.1","1","367-611;647-832","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078929.1","1","367-611;647-832","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078930.1","1","367-611;647-832","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078931.1","1","367-611;647-832","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078932.1","1","266-500;552-737","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078933.1","1","266-510;546-731","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078934.1","1","266-510;546-731","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078935.1","1","266-500;552-737","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078936.1","1","266-510;546-731","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078937.1","1","266-510;546-731","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001078938.1","1","266-510;546-731","ARM repeat","Plakophilin 1 helical region"
"CTNND1","1500","NP_001322.1","1","367-611;647-832","ARM repeat","Plakophilin 1 helical region"
"CTSB","1508","NP_001899.1","1","20-331","Cysteine proteinases","Papain-like"
"CTSB","1508","NP_680090.1","1","20-331","Cysteine proteinases","Papain-like"
"CTSB","1508","NP_680091.1","1","20-331","Cysteine proteinases","Papain-like"
"CTSB","1508","NP_680092.1","1","20-331","Cysteine proteinases","Papain-like"
"CTSB","1508","NP_680093.1","1","20-331","Cysteine proteinases","Papain-like"
"CTSD","1509","NP_001900.1","1","7-409","Acid proteases","Pepsin-like"
"CTSH","1512","NP_004381.2","1","32-333","Cysteine proteinases","Papain-like"
"CTSW","1521","NP_001326.2","1","36-361","Cysteine proteinases","Papain-like"
"CXCL12","6387","NP_000600.1","1","11-89","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCL12","6387","NP_001029058.1","1","11-89","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCL12","6387","NP_001171605.1","1","11-88","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCL12","6387","NP_954637.1","1","11-89","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCL17","284340","NP_940879.1","1","169-264",""""Winged helix"" DNA-binding domain"","Forkhead DNA-binding domain"
"CXCL5","6374","NP_002985.1","1","25-108","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCL9","4283","NP_002407.1","1","13-91","Interleukin 8-like chemokines","Interleukin 8-like chemokines"
"CXCR4","7852","NP_001008540.1","1","30-326","Family A G protein-coupled receptor-like","Rhodopsin-like"
"CXCR4","7852","NP_003458.1","1","27-322","Family A G protein-coupled receptor-like","Rhodopsin-like"
"CYP17A1","1586","NP_000093.1","1","32-496","Cytochrome P450","Cytochrome P450"
"CYP19A1","1588","NP_000094.2","1","41-482","Cytochrome P450","Cytochrome P450"
"CYP19A1","1588","NP_112503.1","1","41-482","Cytochrome P450","Cytochrome P450"
"CYP1A1","1543","NP_000490.1","1","40-504","Cytochrome P450","Cytochrome P450"
"CYP1B1","1545","NP_000095.2","1","40-504","Cytochrome P450","Cytochrome P450"
"CYP39A1","51302","NP_057677.2","1","24-468","Cytochrome P450","Cytochrome P450"
