"Gene_Name","Gene_ID","Homologene_ID","Species_Name","Hgene_Name","mRNA_ID","Protein_ID","Identity_Protein","Identity_DNA"
"ADAM3","80332","11881","H.sapiens","ADAM33","NM_025220.2","NP_079496.1","0.00","0.00"
"ADAM3","80332","11881","C.lupus","ADAM33","XM_542918.2","XP_542918.2","78.10","83.50"
"ADAM3","80332","11881","B.taurus","ADAM33","XM_601929.4","XP_601929.3","75.80","81.70"
"ADAM3","80332","11881","M.musculus","Adam33","NM_033615.1","NP_291093.1","72.70","78.40"
"ADAM3","80332","11881","R.norvegicus","Adam33","XM_230607.4","XP_230607.4","73.00","78.30"
"ADAM3","80332","11881","G.gallus","ADAM33","XM_420886.2","XP_420886.2","58.70","65.90"
"ADAM9","8754","20824","H.sapiens","ADAM9","NM_003816.2","NP_003807.1","0.00","0.00"
"ADAM9","8754","20824","P.troglodytes","ADAM9","XM_519719.2","XP_519719.2","99.80","99.80"
"ADAM9","8754","20824","C.lupus","ADAM9","XM_532798.2","XP_532798.2","92.60","92.10"
"ADAM9","8754","20824","B.taurus","ADAM9","XM_614306.4","XP_614306.4","86.80","87.90"
"ADAM9","8754","20824","M.musculus","Adam9","NM_007404.1","NP_031430.1","86.30","83.50"
"ADAM9","8754","20824","R.norvegicus","Adam9","NM_001014772.1","NP_001014772.1","85.30","83.30"
"ADAM9","8754","20824","G.gallus","ADAM9","NM_001031396.1","NP_001026567.1","71.80","71.90"
"ADAM9","8754","20824","D.rerio","LOC100331817","XM_002663215.1","XP_002663261.1","68.70","67.00"
"ADAMTS5","11096","5109","H.sapiens","ADAMTS5","NM_007038.3","NP_008969.2","0.00","0.00"
"ADAMTS5","11096","5109","P.troglodytes","ADAMTS5","XM_531407.2","XP_531407.2","99.70","99.60"
"ADAMTS5","11096","5109","C.lupus","ADAMTS5","XM_846025.1","XP_851118.1","95.90","90.10"
"ADAMTS5","11096","5109","B.taurus","ADAMTS5","XM_589193.2","XP_589193.2","92.00","87.60"
"ADAMTS5","11096","5109","M.musculus","Adamts5","NM_011782.2","NP_035912.2","90.90","86.00"
"ADAMTS5","11096","5109","R.norvegicus","Adamts5","NM_198761.1","NP_942056.1","91.60","86.00"
"ADAMTS5","11096","5109","G.gallus","ADAMTS5","XM_425541.2","XP_425541.2","85.70","79.10"
"ADAMTS5","11096","5109","D.rerio","LOC565053","XM_688362.4","XP_693454.4","62.60","62.60"
"ADD3","120","40893","H.sapiens","ADD3","NM_016824.3","NP_058432.1","0.00","0.00"
"ADD3","120","40893","P.troglodytes","ADD3","XM_001141198.1","XP_001141198.1","99.70","99.80"
"ADD3","120","40893","C.lupus","ADD3","XM_859166.1","XP_864259.1","96.30","92.60"
"ADD3","120","40893","B.taurus","ADD3","NM_001075194.1","NP_001068662.1","96.00","92.40"
"ADD3","120","40893","M.musculus","Add3","NM_013758.2","NP_038786.2","92.20","86.90"
"ADD3","120","40893","R.norvegicus","Add3","NM_031552.1","NP_113740.1","92.50","86.40"
"ADD3","120","40893","G.gallus","ADD3","NM_204103.1","NP_989434.1","85.90","79.30"
"ADD3","120","40893","D.rerio","add3a","NM_199663.1","NP_955957.1","71.10","67.10"
"AGR2","10551","4674","H.sapiens","AGR2","NM_006408.3","NP_006399.1","0.00","0.00"
"AGR2","10551","4674","C.lupus","AGR2","XM_539450.2","XP_539450.1","95.40","90.30"
"AGR2","10551","4674","B.taurus","AGR2","NM_001040500.1","NP_001035590.1","95.40","92.60"
"AGR2","10551","4674","M.musculus","Agr2","NM_011783.2","NP_035913.1","91.40","87.80"
"AGR2","10551","4674","R.norvegicus","Agr2","XM_216691.4","XP_216691.1","91.40","87.80"
"AGR2","10551","4674","G.gallus","AGR2","XM_418698.2","XP_418698.1","81.20","75.50"
"AGR2","10551","4674","D.rerio","agr2","NM_001012481.1","NP_001012499.1","73.90","69.10"
"AGR2","10551","4674","D.rerio","LOC100329406","XM_002662987.1","XP_002663033.1","73.90","68.90"
"AKT","207","3785","H.sapiens","AKT1","NM_001014431.1","NP_001014431.1","0.00","0.00"
"AKT","207","3785","C.lupus","AKT1","XM_548000.2","XP_548000.2","97.00","91.30"
"AKT","207","3785","B.taurus","AKT1","NM_173986.2","NP_776411.1","96.20","90.80"
"AKT","207","3785","M.musculus","Akt1","NM_009652.2","NP_033782.1","98.30","90.90"
"AKT","207","3785","R.norvegicus","Akt1","NM_033230.1","NP_150233.1","98.10","90.90"
"AKT","207","3785","G.gallus","AKT1","NM_205055.1","NP_990386.1","96.00","76.90"
"AKT","207","3785","D.rerio","akt2l","NM_212815.1","NP_997980.1","77.20","76.00"
"AKT","207","3785","C.elegans","akt-1","NM_001028474.3","NP_001023645.1","59.60","55.80"
"AKT","207","3785","C.elegans","akt-2","NM_077956.4","NP_510357.3","56.20","56.70"
"ALDH1A2","8854","68368","H.sapiens","ALDH1A2","NM_003888.2","NP_003879.2","0.00","0.00"
"ALDH1A2","8854","68368","P.troglodytes","ALDH1A2","XM_001172159.1","XP_001172159.1","99.60","99.40"
"ALDH1A2","8854","68368","C.lupus","ALDH1A2","XM_535494.2","XP_535494.2","99.60","94.20"
"ALDH1A2","8854","68368","M.musculus","Aldh1a2","NM_009022.3","NP_033048.1","97.60","90.20"
"ALDH1A2","8854","68368","R.norvegicus","Aldh1a2","NM_053896.1","NP_446348.1","97.80","90.30"
"ALDH1A2","8854","68368","G.gallus","ALDH1A2","NM_204995.1","NP_990326.1","95.80","83.00"
"ALDH1A2","8854","68368","D.rerio","aldh1a2","NM_131850.1","NP_571925.1","79.50","73.10"
"ALDH1A2","8854","68368","A.gambiae","AgaP_AGAP009944","XM_319075.4","XP_319075.3","62.30","61.40"
"ALDH1A2","8854","68368","S.cerevisiae","ALD6","ALD6_6325196","NP_015264.1","47.30","53.80"
"ALDH1A2","8854","68368","K.lactis","KLLA0E23057g","XM_454992.1","XP_454992.1","49.50","53.40"
"ALPPL2","251","122137","H.sapiens","ALPP","NM_001632.3","NP_001623.3","0.00","0.00"
"ALPPL2","251","122137","H.sapiens","ALPPL2","NM_031313.2","NP_112603.2","97.30","97.80"
"ALPPL2","251","122137","P.troglodytes","ALPPL2","XM_001146156.1","XP_001146156.1","96.40","97.10"
"ALPPL2","251","122137","M.musculus","Alppl2","NM_007433.3","NP_031459.3","75.20","77.40"
"ALPPL2","251","122137","R.norvegicus","Alppl2","XM_346070.3","XP_346071.3","70.90","74.20"
"ALPPL2","251","122137","D.melanogaster","CG3290","NM_137810.1","NP_611654.1","44.00","52.20"
"ALPPL2","251","122137","D.melanogaster","CG3292","NM_137809.1","NP_611653.1","43.40","50.90"
"ALPPL2","251","122137","D.melanogaster","CG3264","NM_137811.2","NP_611655.1","43.10","52.80"
"ANXA2","302","20857","H.sapiens","ANXA2","NM_001002858.2","NP_001002858.1","0.00","0.00"
"ANXA2","302","20857","P.troglodytes","ANXA2","XM_001155637.1","XP_001155637.1","99.10","98.60"
"ANXA2","302","20857","C.lupus","ANXA2","NM_001002961.1","NP_001002961.1","98.80","93.30"
"ANXA2","302","20857","B.taurus","ANXA2","NM_174716.1","NP_777141.1","98.20","93.00"
"ANXA2","302","20857","M.musculus","Anxa2","NM_007585.3","NP_031611.1","97.60","89.60"
"ANXA2","302","20857","R.norvegicus","Anxa2","NM_019905.1","NP_063970.1","96.80","89.60"
"ANXA2","302","20857","G.gallus","ANXA2","NM_205351.1","NP_990682.1","89.70","81.20"
"ANXA2","302","20857","D.rerio","anxa2a","NM_181761.2","NP_861426.1","67.40","67.30"
"ANXA2","302","20857","D.rerio","anxa2b","NM_001105600.1","NP_001099070.1","65.10","64.90"
"APC","324","30950","H.sapiens","APC","NM_000038.4","NP_000029.2","0.00","0.00"
"APC","324","30950","P.troglodytes","APC","XM_001143366.1","XP_001143366.1","98.90","99.10"
"APC","324","30950","C.lupus","APC","XM_536285.2","XP_536285.2","92.70","89.20"
"APC","324","30950","B.taurus","APC","XM_001787603.1","XP_001787655.1","94.80","91.90"
"APC","324","30950","M.musculus","Apc","NM_007462.2","NP_031488.2","90.80","87.50"
"APC","324","30950","R.norvegicus","Apc","NM_012499.1","NP_036631.1","90.30","86.10"
"APC","324","30950","G.gallus","APC","XM_001233410.1","XP_001233411.1","84.10","79.20"
"APC","324","30950","D.rerio","apc","NM_001143840.1","NP_001137312.1","70.80","66.80"
"AR","367","28","H.sapiens","AR","NM_000044.2","NP_000035.2","0.00","0.00"
"AR","367","28","C.lupus","AR","NM_001003053.1","NP_001003053.1","92.60","89.10"
"AR","367","28","B.taurus","AR","XM_001253942.2","XP_001253943.2","92.80","90.50"
"AR","367","28","M.musculus","Ar","NM_013476.3","NP_038504.1","89.50","87.90"
"AR","367","28","R.norvegicus","Ar","NM_012502.1","NP_036634.1","90.00","88.10"
"AR","367","28","G.gallus","AR","NM_001040090.1","NP_001035179.1","72.00","71.20"
"AREG","374","1252","H.sapiens","AREG","NM_001657.2","NP_001648.1","0.00","0.00"
"AREG","374","1252","H.sapiens","AREGB","XM_001125684.3","XP_001125684.1","100.00","99.90"
"AREG","374","1252","P.troglodytes","AREG","XM_517224.2","XP_517224.2","98.00","99.10"
"AREG","374","1252","C.lupus","AREGB","XM_532410.2","XP_532410.2","81.20","85.20"
"AREG","374","1252","B.taurus","AREGB","NM_001099092.1","NP_001092562.1","79.70","85.80"
"AREG","374","1252","M.musculus","Areg","NM_009704.3","NP_033834.1","72.20","78.10"
"AREG","374","1252","R.norvegicus","Areg","NM_017123.1","NP_058819.1","73.40","77.30"
"AREG","374","1252","G.gallus","AREGB","NM_001031537.1","NP_001026708.1","51.20","58.70"
"ARL4A","10124","4194","H.sapiens","ARL4A","NM_001037164.1","NP_001032241.1","0.00","0.00"
"ARL4A","10124","4194","P.troglodytes","ARL4A","XM_001147693.1","XP_001147693.1","100.00","99.50"
"ARL4A","10124","4194","B.taurus","ARL4A","NM_001076985.1","NP_001070453.1","99.50","94.50"
"ARL4A","10124","4194","M.musculus","Arl4a","NM_007487.3","NP_031513.1","99.50","92.50"
"ARL4A","10124","4194","R.norvegicus","Arl4a","NM_019186.1","NP_062059.1","99.50","93.30"
"ARL4A","10124","4194","G.gallus","ARL4A","XM_418690.2","XP_418690.1","96.50","80.80"
"ARL4A","10124","4194","D.rerio","arl4l","NM_200318.2","NP_956612.1","80.50","69.80"
"ARL4A","10124","4194","D.melanogaster","CG2219","NM_143648.1","NP_651905.1","56.80","58.00"
"ASRGL1","80150","11825","H.sapiens","ASRGL1","NM_001083926.1","NP_001077395.1","0.00","0.00"
"ASRGL1","80150","11825","P.troglodytes","ASRGL1","XM_001141096.1","XP_001141096.1","98.40","99.20"
"ASRGL1","80150","11825","C.lupus","ASRGL1","XM_540910.2","XP_540910.1","83.10","83.20"
"ASRGL1","80150","11825","B.taurus","ASRGL1","NM_001077035.1","NP_001070503.1","82.40","82.30"
"ASRGL1","80150","11825","M.musculus","Asrgl1","NM_025610.3","NP_079886.2","78.40","79.60"
"ASRGL1","80150","11825","R.norvegicus","Asrgl1","NM_145089.2","NP_659557.1","77.70","78.50"
"ASRGL1","80150","11825","G.gallus","ASRGL1","XM_419885.2","XP_419885.1","66.40","66.90"
"ASRGL1","80150","11825","D.rerio","zgc:103568","NM_001013529.1","NP_001013547.1","62.70","61.00"
"ASRGL1","80150","11825","D.melanogaster","CG7860","NM_132811.2","NP_573039.1","45.20","53.30"
"ASRGL1","80150","11825","A.gambiae","AgaP_AGAP011098","XM_309550.3","XP_309550.3","42.90","48.40"
"ASRGL1","80150","11825","A.thaliana","AT3G16150","NM_112485.3","NP_566536.1","45.00","49.70"
"ATAD2","29028","6044","H.sapiens","ATAD2","NM_014109.3","NP_054828.2","0.00","0.00"
"ATAD2","29028","6044","P.troglodytes","ATAD2","XM_001148894.1","XP_001148894.1","99.10","99.30"
"ATAD2","29028","6044","C.lupus","ATAD2","XM_845427.1","XP_850520.1","92.80","91.80"
"ATAD2","29028","6044","M.musculus","Atad2","NM_027435.2","NP_081711.2","85.10","85.40"
"ATAD2","29028","6044","R.norvegicus","Atad2","XM_235326.4","XP_235326.4","83.10","84.30"
"ATAD2","29028","6044","G.gallus","ATAD2","XM_418453.2","XP_418453.2","62.90","66.60"
"ATAD2","29028","6044","D.rerio","LOC563039","XM_686405.4","XP_691497.4","60.40","60.20"
"ATAD2","29028","6044","C.elegans","lex-1","NM_069888.5","NP_502289.2","38.60","47.80"
"ATAD2","29028","6044","A.thaliana","AT1G05910","NM_100472.1","NP_563753.1","41.50","51.20"
"ATAD2","29028","6044","O.sativa","Os09g0515100","NM_001070199.1","NP_001063664.1","48.80","54.60"
"ATP2C2","9914","73463","H.sapiens","ATP2C2","NM_014861.2","NP_055676.2","0.00","0.00"
"ATP2C2","9914","73463","P.troglodytes","ATP2C2","XM_511142.2","XP_511142.2","98.90","99.10"
"ATP2C2","9914","73463","C.lupus","ATP2C2","XM_536762.2","XP_536762.2","88.40","85.90"
"ATP2C2","9914","73463","B.taurus","ATP2C2","XM_587457.4","XP_587457.4","87.10","85.40"
"ATP2C2","9914","73463","M.musculus","Atp2c2","XM_486167.5","XP_486167.5","84.70","82.00"
"ATP8A2","51761","4443","H.sapiens","ATP8A2","NM_016529.4","NP_057613.4","0.00","0.00"
"ATP8A2","51761","4443","P.troglodytes","ATP8A2","XM_522636.2","XP_522636.2","99.80","99.70"
"ATP8A2","51761","4443","M.musculus","Atp8a2","NM_015803.2","NP_056618.1","94.60","86.70"
"ATP8A2","51761","4443","G.gallus","ATP8A2","XM_417130.2","XP_417130.2","83.70","78.40"
"ATP8A2","51761","4443","D.rerio","atp8a2","XM_002666649.1","XP_002666695.1","77.20","70.00"
"ATP8A2","51761","4443","S.pombe","SPBC887.12","NM_001022406.1","NP_596486.1","49.00","52.50"
"ATP8A2","51761","4443","S.cerevisiae","DRS2","DRS2_6319293","NP_009376.1","46.70","51.50"
"ATP8A2","51761","4443","K.lactis","KLLA0A04015g","XM_451177.1","XP_451177.1","48.30","51.10"
"ATP8A2","51761","4443","E.gossypii","AGOS_ADR350W","NM_209799.1","NP_984446.1","45.90","51.30"
"ATP8A2","51761","4443","M.grisea","GeneID:5048853","XM_001403411.1","XP_001403448.1","49.70","53.20"
"ATP8A2","51761","4443","N.crassa","NCU00352","XM_952730.1","XP_957823.1","47.40","51.90"
"ATP8A2","51761","4443","A.thaliana","ALA3","NM_104675.2","NP_176191.1","44.90","50.90"
"ATP8A2","51761","4443","O.sativa","Os10g0412000","NM_001071121.1","NP_001064586.1","45.60","50.70"
"ATP8A2","51761","4443","P.falciparum","ATPase2","XM_001350560.1","XP_001350596.1","37.00","46.20"
"ATP8B2","57198","23226","H.sapiens","ATP8B2","NM_020452.3","NP_065185.1","0.00","0.00"
"ATP8B2","57198","23226","P.troglodytes","ATP8B2","XM_001151835.1","XP_001151835.1","99.70","99.40"
"ATP8B2","57198","23226","C.lupus","ATP8B2","XM_547569.2","XP_547569.2","95.10","89.70"
"ATP8B2","57198","23226","B.taurus","ATP8B2","XM_001253648.1","XP_001253649.1","98.30","92.40"
"ATP8B2","57198","23226","M.musculus","Atp8b2","NM_001081182.1","NP_001074651.1","97.10","90.70"
"ATP8B2","57198","23226","R.norvegicus","LOC685152","XM_001062555.1","XP_001062555.1","97.40","90.60"
"ATP8B2","57198","23226","D.rerio","LOC559291","XM_682623.3","XP_687715.3","74.20","71.40"
"ATP8B2","57198","23226","D.melanogaster","CG14741","NM_169450.2","NP_731669.2","59.30","61.00"
"ATP8B2","57198","23226","A.gambiae","AgaP_AGAP002644","XM_312283.4","XP_312283.4","62.40","61.50"
"ATP8B2","57198","23226","C.elegans","tat-2","NM_001028081.1","NP_001023252.1","58.00","56.90"
"ATP8B2","57198","23226","S.pombe","SPAC24B11.12c","NM_001018250.1","NP_592849.1","40.20","47.80"
"ATP8B2","57198","23226","K.lactis","KLLA0C17644g","XM_452988.1","XP_452988.1","40.60","47.00"
"ATP8B2","57198","23226","E.gossypii","AGOS_AGR120C","NM_211848.1","NP_986786.1","39.30","48.20"
"ATP8B2","57198","23226","M.grisea","GeneID:2682772","XM_366691.2","XP_366691.2","40.10","51.50"
"ATP8B2","57198","23226","N.crassa","NCU07443","XM_959537.1","XP_964630.1","39.70","51.10"
"ATP8B2","57198","23226","A.thaliana","AT3G27870","NM_113703.1","NP_189425.1","40.90","49.40"
"ATP8B2","57198","23226","A.thaliana","ACA.l","NM_101192.2","NP_172780.1","43.00","51.50"
"ATP8B2","57198","23226","A.thaliana","AT1G26130","NM_102378.1","NP_173938.1","42.70","51.50"
"ATP8B2","57198","23226","A.thaliana","AT1G68710","NM_105543.5","NP_177038.1","42.30","50.00"
"ATP8B2","57198","23226","A.thaliana","AT1G54280","NM_104306.1","NP_175830.1","42.50","51.40"
"ATP8B2","57198","23226","A.thaliana","AT3G13900","NM_112244.4","NP_188006.4","43.00","50.60"
"ATP8B2","57198","23226","A.thaliana","AT1G72700","NM_105929.3","NP_177414.1","41.30","50.50"
"ATP8B2","57198","23226","A.thaliana","AT1G17500","NM_101612.3","NP_173193.2","41.00","49.70"
"ATP8B2","57198","23226","A.thaliana","AT3G25610","NM_113459.1","NP_189189.1","41.70","50.50"
"ATP9B","374868","21915","H.sapiens","ATP9B","NM_198531.3","NP_940933.3","0.00","0.00"
"ATP9B","374868","21915","P.troglodytes","ATP9B","XM_001143568.1","XP_001143568.1","99.70","99.60"
"ATP9B","374868","21915","C.lupus","ATP9B","XM_850875.1","XP_855968.1","92.70","88.10"
"ATP9B","374868","21915","B.taurus","ATP9B","NM_001080255.1","NP_001073724.1","92.20","86.40"
"ATP9B","374868","21915","M.musculus","Atp9b","NM_015805.2","NP_056620.2","93.30","86.80"
"ATP9B","374868","21915","R.norvegicus","Atp9b","XM_225706.4","XP_225706.3","93.00","87.60"
"ATP9B","374868","21915","D.rerio","atp9b","NM_001045154.1","NP_001038619.1","86.50","74.90"
"ATP9B","374868","21915","D.melanogaster","CG31729","NM_135790.3","NP_609634.1","65.80","61.80"
"ATP9B","374868","21915","A.gambiae","AgaP_AGAP008184","XM_317283.4","XP_317283.4","66.60","62.70"
"ATP9B","374868","21915","C.elegans","tat-5","NM_001047200.1","NP_001040665.1","61.60","59.00"
"ATP9B","374868","21915","C.elegans","tat-6","NM_071457.1","NP_503858.1","59.00","58.00"
"ATP9B","374868","21915","S.pombe","SPAC6C3.06c","NM_001019151.1","NP_593720.1","50.80","53.60"
"ATP9B","374868","21915","S.cerevisiae","NEO1","NEO1_6322141","NP_012216.1","52.90","53.90"
"ATP9B","374868","21915","K.lactis","KLLA0C08393g","XM_452573.1","XP_452573.1","52.20","53.60"
"ATP9B","374868","21915","E.gossypii","AGOS_ADL079C","NM_209370.1","NP_984017.1","52.70","53.60"
"ATP9B","374868","21915","M.grisea","GeneID:2677526","XM_361592.2","XP_361592.2","51.70","53.70"
"ATP9B","374868","21915","N.crassa","NCU03818","XM_956114.1","XP_961207.1","51.70","55.20"
"ATP9B","374868","21915","P.falciparum","PFL1125w","XM_001350595.1","XP_001350631.1","38.60","47.30"
"ATR","545","96916","H.sapiens","ATR","NM_001184.3","NP_001175.2","0.00","0.00"
"ATR","545","96916","P.troglodytes","ATR","XM_516792.2","XP_516792.2","99.60","99.70"
"ATR","545","96916","C.lupus","ATR","XM_534295.2","XP_534295.2","95.00","93.00"
"ATR","545","96916","B.taurus","ATR","XM_581054.4","XP_581054.3","93.60","92.00"
"ATR","545","96916","R.norvegicus","Atr","XM_001062084.1","XP_001062084.1","90.40","88.70"
"ATR","545","96916","D.rerio","atr","XM_691071.4","XP_696163.4","66.20","63.50"
"B3GAT3","26229","56554","H.sapiens","B3GAT3","NM_012200.2","NP_036332.2","0.00","0.00"
"B3GAT3","26229","56554","P.troglodytes","B3GAT3","XM_001142393.1","XP_001142393.1","86.90","90.80"
"B3GAT3","26229","56554","C.lupus","B3GAT3","XM_540906.2","XP_540906.2","96.10","91.80"
"B3GAT3","26229","56554","B.taurus","B3GAT3","NM_205805.2","NP_991374.2","95.50","91.50"
"B3GAT3","26229","56554","M.musculus","B3gat3","NM_024256.2","NP_077218.1","95.80","88.20"
"B3GAT3","26229","56554","D.rerio","b3gat3","NM_001015059.1","NP_001015059.1","60.40","63.80"
"B3GAT3","26229","56554","D.rerio","b3gat3","NM_001080062.1","NP_001073531.1","55.90","61.50"
"B3GAT3","26229","56554","D.melanogaster","GlcAT-I","NM_167003.2","NP_726910.1","53.10","55.50"
"B3GAT3","26229","56554","A.gambiae","AgaP_AGAP002801","XM_312113.4","XP_312113.4","55.60","56.90"
"B3GAT3","26229","56554","C.elegans","sqv-8","NM_063675.3","NP_496076.1","49.20","51.20"
"BAMBI","25805","8215","H.sapiens","BAMBI","NM_012342.2","NP_036474.1","0.00","0.00"
"BAMBI","25805","8215","P.troglodytes","BAMBI","XM_001150397.1","XP_001150397.1","98.70","99.00"
"BAMBI","25805","8215","C.lupus","BAMBI","XM_544209.2","XP_544209.1","96.50","92.10"
"BAMBI","25805","8215","B.taurus","BAMBI","NM_001046309.1","NP_001039774.1","94.60","87.60"
"BAMBI","25805","8215","M.musculus","Bambi","NM_026505.2","NP_080781.1","93.10","88.30"
"BAMBI","25805","8215","R.norvegicus","Bambi","NM_139082.2","NP_620782.1","95.80","88.80"
"BAMBI","25805","8215","G.gallus","BAMBI","XM_425974.2","XP_425974.2","93.40","86.00"
"BAMBI","25805","8215","D.rerio","bambia","NM_131784.1","NP_571859.1","77.30","70.10"
"BCAM","4059","21149","H.sapiens","BCAM","NM_005581.3","NP_005572.2","0.00","0.00"
"BCAM","4059","21149","P.troglodytes","BCAM","XM_001161836.1","XP_001161836.1","99.00","99.40"
"BCAM","4059","21149","C.lupus","BCAM","XM_541571.2","XP_541571.2","79.00","83.00"
"BCAM","4059","21149","B.taurus","BCAM","NM_174741.2","NP_777166.1","77.40","82.30"
"BCAM","4059","21149","M.musculus","Bcam","NM_020486.2","NP_065232.1","73.40","75.50"
"BCAM","4059","21149","R.norvegicus","Bcam","NM_031752.2","NP_113940.1","73.60","76.30"
"BCAM","4059","21149","D.rerio","bcam","NM_001076627.1","NP_001070095.1","36.70","47.30"
"BCL2L1","598","7639","H.sapiens","BCL2L1","NM_138578.1","NP_612815.1","0.00","0.00"
"BCL2L1","598","7639","P.troglodytes","BCL2L1","XM_514565.2","XP_514565.2","100.00","99.90"
"BCL2L1","598","7639","C.lupus","BCL2L1","NM_001003072.1","NP_001003072.1","100.00","96.60"
"BCL2L1","598","7639","B.taurus","BCL2L1","NM_001077486.2","NP_001070954.1","97.90","95.00"
"BCL2L1","598","7639","M.musculus","Bcl2l1","NM_009743.4","NP_033873.3","97.90","93.60"
"BCL2L1","598","7639","R.norvegicus","Bcl2l1","NM_001033670.1","NP_001028842.1","97.90","93.80"
"BCL2L1","598","7639","G.gallus","BCL2L1","NM_001025304.1","NP_001020475.1","74.70","75.50"
"BCL2L1","598","7639","D.rerio","bcl2l1","NM_131807.1","NP_571882.1","57.00","60.10"
"BEX5","340542","53470","H.sapiens","BEX5","NM_001012978.2","NP_001012996.1","0.00","0.00"
"BEX5","340542","53470","P.troglodytes","BEX5","XM_521186.2","XP_521186.1","99.10","99.10"
"BEX5","340542","53470","B.taurus","BEX5","NM_001075735.1","NP_001069203.1","76.60","85.60"
"BIRC5","332","37450","H.sapiens","BIRC5","NM_001168.2","NP_001159.2","0.00","0.00"
"BIRC5","332","37450","P.troglodytes","BIRC5","XM_001156931.1","XP_001156931.1","98.60","99.50"
"BIRC5","332","37450","C.lupus","BIRC5","NM_001003348.1","NP_001003348.1","90.80","90.10"
"BIRC5","332","37450","B.taurus","BIRC5","NM_001001855.2","NP_001001855.2","90.10","90.10"
