"Gene_Name","Gene_ID","Protein_ID","Family_A","Description_A","Entry_Type_A","Clan_A","Envelope_Start_A","Envelope_End_A","Alignment_Start_A","ALignment_End_A","HMM_From_A","HMM_To_A","BIT_Score_A","E_Value_A","Predicted_Active_Sites"
"ADAMTS5","11096","NP_008969.2","Pep_M12B_propep","Reprolysin family propeptide","Family","n/a","39","191","53","173","16","125","73.60","1.00E-20","n/a"
"ADAMTS5","11096","NP_008969.2","Reprolysin","Reprolysin (M12B) family zinc metalloprotease","Domain","CL0126","267","476","267","476","1","199","91.60","3.70E-26","411"
"ADAMTS5","11096","NP_008969.2","TSP_1","Thrombospondin type 1 domain","Family","n/a","571","621","572","621","2","49","29.90","3.60E-07","n/a"
"ADAMTS5","11096","NP_008969.2","ADAM_spacer1","ADAM-TS Spacer 1","Family","n/a","732","852","733","852","2","114","111.40","1.60E-32","n/a"
"ADAMTS5","11096","NP_008969.2","TSP_1","Thrombospondin type 1 domain","Family","n/a","879","930","881","930","3","49","17.70","0.0023","n/a"
"ADD3","120","NP_001112.2","Aldolase_II","Class II Aldolase and Adducin N-terminal domain","Domain","n/a","139","321","139","321","1","183","134.80","2.00E-39","n/a"
"ADD3","120","NP_058432.1","Aldolase_II","Class II Aldolase and Adducin N-terminal domain","Domain","n/a","139","321","139","321","1","183","134.70","2.20E-39","n/a"
"ADD3","120","NP_063968.1","Aldolase_II","Class II Aldolase and Adducin N-terminal domain","Domain","n/a","139","321","139","321","1","183","134.80","2.00E-39","n/a"
"AGR2","10551","NP_006399.1","Aminotran_1_2","Aminotransferase class I and II","Domain","CL0061","98","464","99","464","2","363","143.50","6.20E-42","n/a"
"AKT1","207","NP_001014431.1","PH","PH domain","Domain","CL0266","6","108","6","106","1","103","49.60","3.00E-13","n/a"
"AKT1","207","NP_001014432.1","PH","PH domain","Domain","CL0266","6","108","6","106","1","103","49.60","3.00E-13","n/a"
"AKT1","207","NP_005154.2","PH","PH domain","Domain","CL0266","6","108","6","106","1","103","49.60","3.00E-13","n/a"
"AKT1","207","NP_001014431.1","Pkinase_C","Protein kinase C terminal domain","Family","n/a","428","478","428","476","1","47","38.90","5.90E-10","n/a"
"AKT1","207","NP_001014432.1","Pkinase_C","Protein kinase C terminal domain","Family","n/a","428","478","428","476","1","47","38.90","5.90E-10","n/a"
"AKT1","207","NP_005154.2","Pkinase_C","Protein kinase C terminal domain","Family","n/a","428","478","428","476","1","47","38.90","5.90E-10","n/a"
"AKT1","207","NP_001014431.1","Pkinase","Protein kinase domain","Domain","CL0016","150","408","151","408","2","260","251.20","6.90E-75","292;274;274;274"
"AKT1","207","NP_001014432.1","Pkinase","Protein kinase domain","Domain","CL0016","150","408","151","408","2","260","251.20","6.90E-75","292;274;274;274"
"AKT1","207","NP_005154.2","Pkinase","Protein kinase domain","Domain","CL0016","150","408","151","408","2","260","251.20","6.90E-75","292;274;274;274"
"ALDH1A2","8854","NP_001193826.1","Aldedh","Aldehyde dehydrogenase family","Family","CL0099","25","488","25","488","1","462","627.60","7.3E-189","2;65;299"
"ALDH1A2","8854","NP_003879.2","Aldedh","Aldehyde dehydrogenase family","Family","CL0099","46","509","46","509","1","462","627.30","8.6E-189","2;86;320"
"ALDH1A2","8854","NP_733797.1","Aldedh","Aldehyde dehydrogenase family","Family","CL0099","226","471","228","471","216","462","335.90","2.1E-100","248;282"
"ALDH1A2","8854","NP_733798.1","Aldedh","Aldehyde dehydrogenase family","Family","CL0099","1","413","1","413","48","462","571.40","7.7E-172","190;224"
"ALPPL2","251","NP_112603.2","Alk_phosphatase","Alkaline phosphatase","Domain","CL0088","52","487","52","487","1","421","623.90","8.90E-188","111;111"
"ANXA2","302","NP_001002857.1","Annexin","Annexin","Family","n/a","37","102","38","102","2","66","68.70","2.50E-19","n/a"
"ANXA2","302","NP_001002857.1","Annexin","Annexin","Family","n/a","109","174","109","174","1","66","95.80","8.00E-28","n/a"
"ANXA2","302","NP_001002857.1","Annexin","Annexin","Family","n/a","193","259","193","259","1","66","59.70","1.50E-16","n/a"
"ANXA2","302","NP_001002857.1","Annexin","Annexin","Family","n/a","269","334","269","333","1","65","81.10","3.20E-23","n/a"
"ANXA2","302","NP_001002858.1","Annexin","Annexin","Family","n/a","55","120","56","120","2","66","68.50","2.70E-19","n/a"
"ANXA2","302","NP_001002858.1","Annexin","Annexin","Family","n/a","127","192","127","192","1","66","95.70","8.70E-28","n/a"
"ANXA2","302","NP_001002858.1","Annexin","Annexin","Family","n/a","211","277","211","277","1","66","59.60","1.60E-16","n/a"
"ANXA2","302","NP_001002858.1","Annexin","Annexin","Family","n/a","287","352","287","351","1","65","81.00","3.50E-23","n/a"
"ANXA2","302","NP_001129487.1","Annexin","Annexin","Family","n/a","37","102","38","102","2","66","68.70","2.50E-19","n/a"
"ANXA2","302","NP_001129487.1","Annexin","Annexin","Family","n/a","109","174","109","174","1","66","95.80","8.00E-28","n/a"
"ANXA2","302","NP_001129487.1","Annexin","Annexin","Family","n/a","193","259","193","259","1","66","59.70","1.50E-16","n/a"
"ANXA2","302","NP_001129487.1","Annexin","Annexin","Family","n/a","269","334","269","333","1","65","81.10","3.20E-23","n/a"
"ANXA2","302","NP_004030.1","Annexin","Annexin","Family","n/a","37","102","38","102","2","66","68.70","2.50E-19","n/a"
"ANXA2","302","NP_004030.1","Annexin","Annexin","Family","n/a","109","174","109","174","1","66","95.80","8.00E-28","n/a"
"ANXA2","302","NP_004030.1","Annexin","Annexin","Family","n/a","193","259","193","259","1","66","59.70","1.50E-16","n/a"
"ANXA2","302","NP_004030.1","Annexin","Annexin","Family","n/a","269","334","269","333","1","65","81.10","3.20E-23","n/a"
"APC","324","NP_000029.2","Suppressor_APC","Adenomatous polyposis coli tumour suppressor protein","Family","n/a","126","208","128","208","3","84","95.00","1.40E-27","n/a"
"APC","324","NP_001120982.1","Suppressor_APC","Adenomatous polyposis coli tumour suppressor protein","Family","n/a","126","208","128","208","3","84","95.00","1.40E-27","n/a"
"APC","324","NP_001120983.2","Suppressor_APC","Adenomatous polyposis coli tumour suppressor protein","Family","n/a","136","218","138","218","3","84","95.00","1.40E-27","n/a"
"APC","324","NP_000029.2","APC_15aa","APC 15 residue motif","Motif","n/a","1020","1035","1020","1035","1","16","24.30","1.50E-05","n/a"
"APC","324","NP_000029.2","APC_15aa","APC 15 residue motif","Motif","n/a","1136","1151","1136","1151","1","16","20.10","3.50E-04","n/a"
"APC","324","NP_000029.2","APC_15aa","APC 15 residue motif","Motif","n/a","1155","1170","1155","1170","1","16","23.00","4.10E-05","n/a"
"APC","324","NP_000029.2","APC_15aa","APC 15 residue motif","Motif","n/a","1172","1187","1172","1186","1","15","25.90","4.80E-06","n/a"
"APC","324","NP_001120982.1","APC_15aa","APC 15 residue motif","Motif","n/a","1020","1035","1020","1035","1","16","24.30","1.50E-05","n/a"
"APC","324","NP_001120982.1","APC_15aa","APC 15 residue motif","Motif","n/a","1136","1151","1136","1151","1","16","20.10","3.50E-04","n/a"
"APC","324","NP_001120982.1","APC_15aa","APC 15 residue motif","Motif","n/a","1155","1170","1155","1170","1","16","23.00","4.10E-05","n/a"
"APC","324","NP_001120982.1","APC_15aa","APC 15 residue motif","Motif","n/a","1172","1187","1172","1186","1","15","25.90","4.80E-06","n/a"
"APC","324","NP_001120983.2","APC_15aa","APC 15 residue motif","Motif","n/a","1002","1017","1002","1017","1","16","24.30","1.50E-05","n/a"
"APC","324","NP_001120983.2","APC_15aa","APC 15 residue motif","Motif","n/a","1118","1133","1118","1133","1","16","20.10","3.50E-04","n/a"
"APC","324","NP_001120983.2","APC_15aa","APC 15 residue motif","Motif","n/a","1137","1152","1137","1152","1","16","23.00","4.10E-05","n/a"
"APC","324","NP_001120983.2","APC_15aa","APC 15 residue motif","Motif","n/a","1154","1169","1154","1168","1","15","25.90","4.70E-06","n/a"
"APC","324","NP_000029.2","APC_basic","APC basic domain","Motif","n/a","2223","2579","2223","2579","1","359","466.90","3.50E-140","n/a"
"APC","324","NP_001120982.1","APC_basic","APC basic domain","Motif","n/a","2223","2579","2223","2579","1","359","466.90","3.50E-140","n/a"
"APC","324","NP_001120983.2","APC_basic","APC basic domain","Motif","n/a","2205","2561","2205","2561","1","359","466.90","3.50E-140","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1256","1281","1256","1281","1","26","42.50","2.30E-11","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1369","1394","1370","1394","2","26","33.10","2.20E-08","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1485","1510","1486","1510","2","26","21.80","7.70E-05","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1636","1661","1637","1661","2","26","35.20","4.60E-09","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1840","1866","1841","1866","2","26","34.90","5.80E-09","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","1948","1973","1948","1973","1","26","32.10","4.50E-08","n/a"
"APC","324","NP_000029.2","APC_crr","APC cysteine-rich region","Motif","n/a","2006","2031","2008","2031","3","26","39.40","2.20E-10","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1256","1281","1256","1281","1","26","42.50","2.30E-11","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1369","1394","1370","1394","2","26","33.10","2.20E-08","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1485","1510","1486","1510","2","26","21.80","7.70E-05","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1636","1661","1637","1661","2","26","35.20","4.60E-09","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1840","1866","1841","1866","2","26","34.90","5.80E-09","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","1948","1973","1948","1973","1","26","32.10","4.50E-08","n/a"
"APC","324","NP_001120982.1","APC_crr","APC cysteine-rich region","Motif","n/a","2006","2031","2008","2031","3","26","39.40","2.20E-10","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1238","1263","1238","1263","1","26","42.50","2.30E-11","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1351","1376","1352","1376","2","26","33.10","2.20E-08","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1467","1492","1468","1492","2","26","21.80","7.70E-05","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1618","1643","1619","1643","2","26","35.20","4.60E-09","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1822","1848","1823","1848","2","26","34.90","5.80E-09","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1930","1955","1930","1955","1","26","32.10","4.40E-08","n/a"
"APC","324","NP_001120983.2","APC_crr","APC cysteine-rich region","Motif","n/a","1988","2013","1990","2013","3","26","39.40","2.20E-10","n/a"
"APC","324","NP_000029.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","512","553","522","552","10","40","21.60","1.10E-04","n/a"
"APC","324","NP_000029.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","649","689","649","689","1","41","33.10","2.60E-08","n/a"
"APC","324","NP_000029.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","691","731","691","730","1","40","20.40","2.60E-04","n/a"
"APC","324","NP_001120982.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","512","553","522","552","10","40","21.60","1.10E-04","n/a"
"APC","324","NP_001120982.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","649","689","649","689","1","41","33.10","2.60E-08","n/a"
"APC","324","NP_001120982.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","691","731","691","730","1","40","20.40","2.60E-04","n/a"
"APC","324","NP_001120983.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","494","535","504","534","10","40","21.60","1.00E-04","n/a"
"APC","324","NP_001120983.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","631","671","631","671","1","41","33.10","2.60E-08","n/a"
"APC","324","NP_001120983.2","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","673","713","673","712","1","40","20.40","2.60E-04","n/a"
"APC","324","NP_000029.2","EB1_binding","EB-1 Binding Domain","Family","n/a","2670","2843","2670","2843","1","174","345.10","8.00E-104","n/a"
"APC","324","NP_001120982.1","EB1_binding","EB-1 Binding Domain","Family","n/a","2670","2843","2670","2843","1","174","345.10","8.00E-104","n/a"
"APC","324","NP_001120983.2","EB1_binding","EB-1 Binding Domain","Family","n/a","2652","2825","2652","2825","1","174","345.10","7.90E-104","n/a"
"APC","324","NP_000029.2","SAMP","SAMP Motif","Motif","n/a","1569","1589","1569","1589","1","20","32.30","2.60E-08","n/a"
"APC","324","NP_000029.2","SAMP","SAMP Motif","Motif","n/a","1718","1738","1719","1738","2","20","33.10","1.60E-08","n/a"
"APC","324","NP_000029.2","SAMP","SAMP Motif","Motif","n/a","2034","2053","2034","2051","1","18","33.00","1.60E-08","n/a"
"APC","324","NP_001120982.1","SAMP","SAMP Motif","Motif","n/a","1569","1589","1569","1589","1","20","32.30","2.60E-08","n/a"
"APC","324","NP_001120982.1","SAMP","SAMP Motif","Motif","n/a","1718","1738","1719","1738","2","20","33.10","1.60E-08","n/a"
"APC","324","NP_001120982.1","SAMP","SAMP Motif","Motif","n/a","2034","2053","2034","2051","1","18","33.00","1.60E-08","n/a"
"APC","324","NP_001120983.2","SAMP","SAMP Motif","Motif","n/a","1551","1571","1551","1571","1","20","32.40","2.60E-08","n/a"
"APC","324","NP_001120983.2","SAMP","SAMP Motif","Motif","n/a","1700","1720","1701","1720","2","20","33.10","1.50E-08","n/a"
"APC","324","NP_001120983.2","SAMP","SAMP Motif","Motif","n/a","2016","2035","2016","2033","1","18","33.00","1.60E-08","n/a"
"AR","367","NP_000035.2","Androgen_recep","Androgen receptor","Family","n/a","6","449","6","449","1","423","901.70","5.00E-272","n/a"
"AR","367","NP_000035.2","Hormone_recep","Ligand-binding domain of nuclear hormone receptor","Domain","n/a","688","895","699","877","16","197","111.20","2.80E-32","n/a"
"AR","367","NP_001011645.1","Hormone_recep","Ligand-binding domain of nuclear hormone receptor","Domain","n/a","156","364","167","345","16","197","113.30","6.50E-33","n/a"
"AR","367","NP_000035.2","zf-C4","Zinc finger; C4 type (two domains)","Domain","n/a","558","627","558","626","1","69","93.30","6.20E-27","n/a"
"AR","367","NP_001011645.1","zf-C4","Zinc finger; C4 type (two domains)","Domain","n/a","26","95","26","94","1","69","95.00","1.80E-27","n/a"
"AREG","374","NP_001648.1","FtsL","Cell division protein FtsL","Family","CL0225","188","249","202","247","15","60","18.10","1.30E-03","n/a"
"AREG","374","NP_001648.1","EGF","EGF-like domain","Domain","CL0001","143","180","151","180","3","32","17.80","2.00E-03","n/a"
"AREG","374","NP_001648.1","Phage_B","Scaffold protein B","Family","n/a","101","214","118","207","14","106","13.40","5.50E-02","n/a"
"ARL4A","10124","NP_001032241.1","Arf","ADP-ribosylation factor family","Domain","CL0023","7","186","9","186","3","175","225.40","2.10E-67","n/a"
"ARL4A","10124","NP_001182325.1","Arf","ADP-ribosylation factor family","Domain","CL0023","7","186","9","186","3","175","225.40","2.10E-67","n/a"
"ARL4A","10124","NP_005729.1","Arf","ADP-ribosylation factor family","Domain","CL0023","7","186","9","186","3","175","225.40","2.10E-67","n/a"
"ARL4A","10124","NP_997625.1","Arf","ADP-ribosylation factor family","Domain","CL0023","7","186","9","186","3","175","225.40","2.10E-67","n/a"
"ASRGL1","80150","NP_001077395.1","Asparaginase_2","Asparaginase","Domain","CL0052","1","297","4","292","4","307","245.30","5.00E-73","168"
"ASRGL1","80150","NP_079356.3","Asparaginase_2","Asparaginase","Domain","CL0052","1","297","4","292","4","307","245.30","5.00E-73","168"
"ATAD2","29028","NP_054828.2","AAA","ATPase family associated with various cellular activities (AAA)","Family","CL0023","463","598","464","597","2","129","138.30","1.30E-40","n/a"
"ATAD2","29028","NP_054828.2","Bromodomain","Bromodomain","Domain","n/a","993","1075","1003","1068","11","76","56.40","1.70E-15","n/a"
"ATP2C2","9914","NP_055676.2","Cation_ATPase_N","Cation transporter/ATPase; N-terminus","Domain","n/a","58","125","62","125","6","69","56.90","8.40E-16","n/a"
"ATP2C2","9914","NP_055676.2","Cation_ATPase_C","Cation transporting ATPase; C-terminus","Family","n/a","756","929","756","928","1","181","152.70","5.80E-45","n/a"
"ATP2C2","9914","NP_055676.2","E1-E2_ATPase","E1-E2 ATPase","Family","n/a","136","369","136","369","1","230","240.00","1.30E-71","n/a"
"ATP2C2","9914","NP_055676.2","Hydrolase","haloacid dehalogenase-like hydrolase","Domain","CL0137","373","686","375","686","3","193","69.10","4.10E-19","379"
"ATP8A2","51761","NP_057613.4","E1-E2_ATPase","E1-E2 ATPase","Family","n/a","123","396","124","388","2","210","74.20","6.10E-21","n/a"
"ATP8A2","51761","NP_057613.4","HAD","haloacid dehalogenase-like hydrolase","Family","CL0137","425","830","426","830","2","187","65.70","4.70E-18","428"
"ATP8B2","57198","NP_001005855.1","E1-E2_ATPase","E1-E2 ATPase","Family","n/a","84","357","85","347","2","205","58.00","5.40E-16","n/a"
"ATP8B2","57198","NP_065185.1","E1-E2_ATPase","E1-E2 ATPase","Family","n/a","117","388","118","382","2","207","58.20","4.60E-16","n/a"
"ATP8B2","57198","NP_065185.1","HAD","haloacid dehalogenase-like hydrolase","Family","CL0137","422","856","422","856","1","187","58.80","6.20E-16","425"
"ATP9B","374868","NP_940933.3","E1-E2_ATPase","E1-E2 ATPase","Family","n/a","185","449","187","445","3","221","89.90","1.00E-25","n/a"
"ATP9B","374868","NP_940933.3","HAD","haloacid dehalogenase-like hydrolase","Family","CL0137","465","883","466","883","2","187","52.90","3.90E-14","468"
"ATR","545","NP_001175.2","FAT","FAT domain","Family","CL0020","1771","2092","1772","2092","2","351","184.10","3.00E-54","n/a"
"ATR","545","NP_001175.2","FATC","FATC domain","Family","n/a","2612","2644","2613","2644","2","33","46.90","1.00E-12","n/a"
"ATR","545","NP_001175.2","PI3_PI4_kinase","Phosphatidylinositol 3- and 4-kinase","Family","n/a","2321","2567","2323","2567","3","235","200.50","2.10E-59","n/a"
"ATR","545","NP_001175.2","UME","UME (NUC010) domain","Domain","n/a","1119","1225","1119","1224","1","106","90.10","6.40E-26","n/a"
"B3GAT3","26229","NP_036332.2","Glyco_transf_43","Glycosyltransferase family 43","Family","CL0110","96","313","96","313","1","207","267.60","5.00E-80","281"
"BAMBI","25805","NP_036474.1","BAMBI","BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain","Domain","CL0117","4","111","4","111","1","107","212.40","6.20E-64","n/a"
"BCAM","4059","NP_001013275.1","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","150","248","151","248","2","89","89.50","7.80E-26","n/a"
"BCAM","4059","NP_005572.2","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","150","248","151","248","2","89","89.40","8.60E-26","n/a"
"BCL2L1","598","NP_612815.1","Bcl-2","Apoptosis regulator proteins; Bcl-2 family","Family","n/a","90","188","90","188","1","101","114.30","1.80E-33","n/a"
"BCL2L1","598","NP_001182.1","BH4","Bcl-2 homology region 4","Family","n/a","1","27","1","27","1","27","54.90","3.10E-15","n/a"
"BCL2L1","598","NP_612815.1","BH4","Bcl-2 homology region 4","Family","n/a","1","27","1","27","1","27","54.30","5.00E-15","n/a"
"BEX5","340542","NP_001012996.1","BEX","Brain expressed X-linked like family","Family","n/a","1","110","1","110","1","100","98.10","2.20E-28","n/a"
"BEX5","340542","NP_001153032.1","BEX","Brain expressed X-linked like family","Family","n/a","1","110","1","110","1","100","98.10","2.20E-28","n/a"
"BIRC5","332","NP_001012270.1","BIR","Inhibitor of Apoptosis domain","Domain","CL0417","18","84","18","77","1","59","58.10","7.00E-16","n/a"
"BIRC5","332","NP_001012271.1","BIR","Inhibitor of Apoptosis domain","Domain","CL0417","18","76","18","74","1","56","54.00","1.40E-14","n/a"
"BIRC5","332","NP_001159.2","BIR","Inhibitor of Apoptosis domain","Domain","CL0417","18","88","18","87","1","69","77.20","7.80E-22","n/a"
"BRAF","673","NP_004324.2","C1_1","Phorbol esters/diacylglycerol binding domain (C1 domain)","Domain","CL0006","235","282","235","280","1","50","43.80","1.20E-11","n/a"
"BRAF","673","NP_004324.2","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","457","714","457","712","1","257","219.50","3.20E-65","576"
"BRAF","673","NP_004324.2","RBD","Raf-like Ras-binding domain","Domain","CL0072","155","227","156","227","2","71","103.40","3.10E-30","n/a"
"BST2","684","NP_004326.1","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"BTN2A1","11120","NP_001184162.1","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","87","169","94","168","11","88","21.80","1.00E-04","n/a"
"BTN2A1","11120","NP_001184163.1","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","148","230","155","229","11","88","22.60","5.90E-05","n/a"
"BTN2A1","11120","NP_008980.1","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","148","230","155","229","11","88","21.50","1.20E-04","n/a"
"BTN2A1","11120","NP_510961.1","C2-set_2","CD80-like C2-set immunoglobulin domain","Domain","CL0011","148","230","155","229","11","88","22.60","6.00E-05","n/a"
"BTN2A1","11120","NP_001184162.1","V-set","Immunoglobulin V-set domain","Domain","CL0011","1","81","2","68","33","100","25.40","8.10E-06","n/a"
"BTN2A1","11120","NP_001184163.1","V-set","Immunoglobulin V-set domain","Domain","CL0011","29","142","34","129","6","100","46.30","2.80E-12","n/a"
"BTN2A1","11120","NP_008980.1","V-set","Immunoglobulin V-set domain","Domain","CL0011","29","142","34","129","6","100","45.10","6.40E-12","n/a"
"BTN2A1","11120","NP_510961.1","V-set","Immunoglobulin V-set domain","Domain","CL0011","29","142","34","129","6","100","46.20","2.80E-12","n/a"
"BTN2A1","11120","NP_001184162.1","SPRY","SPRY domain","Family","n/a","322","440","322","431","1","114","83.90","7.10E-24","n/a"
"BTN2A1","11120","NP_008980.1","SPRY","SPRY domain","Family","n/a","383","501","383","492","1","114","83.60","8.80E-24","n/a"
"C19ORF33","64073","NP_277055.1","SR-25","Nuclear RNA-splicing-associated protein","Family","n/a","26","106","49","103","61","115","19.00","0.00062","n/a"
"C1QTNF3","114899","NP_112207.1","C1q","C1q domain","Domain","CL0100","119","242","119","242","1","127","116.40","6.40E-34","n/a"
"C1QTNF3","114899","NP_852100.3","C1q","C1q domain","Domain","CL0100","192","315","192","315","1","127","115.50","1.20E-33","n/a"
"C1QTNF3","114899","NP_112207.1","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","40","115","54","110","1","57","38.80","4.00E-10","n/a"
"C1QTNF3","114899","NP_852100.3","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","100","188","127","183","1","57","37.50","1.00E-09","n/a"
"C20orf32","25927","NP_001104571.1","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"C20orf32","25927","NP_056278.1","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"C8A","731","NP_000553.1","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","94","130","95","130","2","37","32.60","4.30E-08","n/a"
"C8A","731","NP_000553.1","MACPF","MAC/Perforin domain","Domain","CL0293","267","490","268","490","2","212","165.30","1.20E-48","n/a"
"C8A","731","NP_000553.1","TSP_1","Thrombospondin type 1 domain","Family","n/a","540","584","541","584","2","44","24.20","2.10E-05","n/a"
