"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","CCDS_ID","Trembl_ID","SwissProt_ID"
"CASP7","840","NP_203124.1","NM_033338.4","CCDS7580.1","-","P55210"
"CASP7","840","NP_203125.1","NM_033339.3","CCDS7581.1","-","P55210"
"CASP7","840","NP_203126.1","NM_033340.2","CCDS7582.1","-","P55210"
"CCL2","6347","NP_002973.1","NM_002982.3","CCDS11277.1","-","P13500"
"CCL20","6364","NP_001123518.1","NM_001130046.1","CCDS46536.1","-","P78556"
"CCL20","6364","NP_004582.1","NM_004591.2","CCDS2469.1","-","P78556"
"CCNA2","890","NP_001228.1","NM_001237.3","CCDS3723.1","-","P20248"
"CCND1","595","NP_444284.1","NM_053056.2","CCDS8191.1","Q6FI00","P24385"
"CCNE1","898","NP_001229.1","NM_001238.1","CCDS12419.1","-","P24864"
"CCNE1","898","NP_476530.1","NM_057182.1","CCDS46035.1","-","P24864"
"CCR2","729230","NP_001116513.2","NM_001123041.2","CCDS43078.1","-","P41597"
"CCR2","729230","NP_001116868.1","NM_001123396.1","CCDS46813.1","Q4VBL2","P41597"
"CD24","100133941","NP_037362.1","NM_013230.2","-","B6EC88","P25063"
"CD248","57124","NP_065137.1","NM_020404.2","CCDS8134.1","-","Q9HCU0"
"CD44","960","NP_000601.3","NM_000610.3","CCDS7897.1","-","P16070"
"CD44","960","NP_001001389.1","NM_001001389.1","CCDS31455.1","-","P16070"
"CD44","960","NP_001001390.1","NM_001001390.1","CCDS31456.1","-","P16070"
"CD44","960","NP_001001391.1","NM_001001391.1","CCDS31457.1","-","P16070"
"CD44","960","NP_001001392.1","NM_001001392.1","CCDS31458.1","O95370","P16070"
"CD44","960","NP_001189484.1","NM_001202555.1","-","-","P16070"
"CD44","960","NP_001189485.1","NM_001202556.1","-","B6EAT9","P16070"
"CD44","960","NP_001189486.1","NM_001202557.1","-","-","P16070"
"CD69","969","NP_001772.1","NM_001781.2","CCDS8604.1","Q53ZX0","Q07108"
"CDC20B","166979","NP_001139206.2","NM_001145734.2","CCDS47207.1","-","Q86Y33"
"CDC20B","166979","NP_001163873.1","NM_001170402.1","CCDS54852.1","-","Q86Y33"
"CDC20B","166979","NP_689836.2","NM_152623.2","CCDS3966.1","-","Q86Y33"
"CDC25B","994","NP_004349.1","NM_004358.3","CCDS13065.1","B3KS38; Q6MZW8","P30305"
"CDC25B","994","NP_068658.1","NM_021872.2","CCDS13066.1","B3KS38; Q6MZW8","P30305"
"CDC25B","994","NP_068659.1","NM_021873.2","CCDS13067.1","B3KS38; Q6MZW8","P30305"
"CDCP1","64866","NP_073753.3","NM_022842.3","CCDS2727.1","-","Q9H5V8"
"CDCP1","64866","NP_835488.1","NM_178181.1","CCDS46812.1","-","Q9H5V8"
"CDH1","999","NP_004351.1","NM_004360.3","CCDS10869.1","A8K1U7","P12830"
"CDH3","1001","NP_001784.2","NM_001793.4","CCDS10868.1","-","P22223"
"CDH6","1004","NP_004923.1","NM_004932.2","CCDS3894.1","-","P55285"
"CDK4","1019","NP_000066.1","NM_000075.2","CCDS8953.1","-","P11802"
"CDKN1A","1026","NP_000380.1","NM_000389.4","CCDS4824.1","Q6FI05","P38936"
"CDKN1A","1026","NP_510867.1","NM_078467.2","CCDS4824.1","Q6FI05","P38936"
"CDKN1B","1027","NP_004055.1","NM_004064.3","CCDS8653.1","Q6I9V6","P46527"
"CDKN2A","1029","NP_000068.1","NM_000077.4","CCDS6510.1","-","P42771"
"CDKN2A","1029","NP_001182061.1","NM_001195132.1","-","A5X2G7","-"
"CDKN2A","1029","NP_478102.2","NM_058195.3","CCDS6511.2","-","Q8N726"
"CDKN2A","1029","NP_478104.2","NM_058197.4","-","-","P42771"
"CDKN3","1033","NP_001124323.1","NM_001130851.1","CCDS45109.1","-","Q16667"
"CDKN3","1033","NP_005183.2","NM_005192.3","CCDS9716.1","-","Q16667"
"CDR2L","30850","NP_055418.2","NM_014603.2","CCDS11710.2","-","Q86X02"
"CEACAM1","634","NP_001020083.1","NM_001024912.2","CCDS46089.1","Q3KRG8","P13688"
"CEACAM1","634","NP_001171742.1","NM_001184813.1","CCDS54273.1","-","P13688"
"CEACAM1","634","NP_001171744.1","NM_001184815.1","CCDS54274.1","-","P13688"
"CEACAM1","634","NP_001171745.1","NM_001184816.1","CCDS54272.1","-","P13688"
"CEACAM1","634","NP_001192273.1","NM_001205344.1","-","-","-"
"CEACAM1","634","NP_001703.2","NM_001712.4","CCDS12609.1","-","P13688"
"CEP290","80184","NP_079390.3","NM_025114.3","-","Q05BJ6","O15078"
"CLDN1","9076","NP_066924.1","NM_021101.4","CCDS3295.1","A5JSJ9","O95832"
"CLMP","79827","NP_079045.1","NM_024769.2","CCDS8441.1","-","Q9H6B4"
"CMTM8","152189","NP_849199.2","NM_178868.3","CCDS2652.1","-","Q8IZV2"
"CNR2","1269","NP_001832.1","NM_001841.2","CCDS245.1","C6ES44","P34972"
"CNTF","1270","NP_000605.1","NM_000614.3","CCDS31554.1","-","P26441"
"COL3A1","1281","NP_000081.1","NM_000090.3","CCDS2297.1","-","P02461"
"COL4A5","1287","NP_000486.1","NM_000495.3","CCDS14543.1","-","P29400"
"COL4A5","1287","NP_203699.1","NM_033380.1","CCDS35366.1","-","P29400"
"COLEC11","78989","NP_076932.1","NM_024027.3","CCDS1649.1","-","Q9BWP8"
"COLEC11","78989","NP_954705.1","NM_199235.1","CCDS1650.1","-","Q9BWP8"
"COPS2","9318","NP_001137359.1","NM_001143887.1","CCDS45257.1","Q59EL2","P61201"
"COPS2","9318","NP_004227.1","NM_004236.3","CCDS32235.1","-","P61201"
"COX7A1","1346","NP_001855.1","NM_001864.2","CCDS12490.1","Q6FGI7","P24310"
"CRABP2","1382","NP_001186652.1","NM_001199723.1","-","-","P29373"
"CRABP2","1382","NP_001869.1","NM_001878.3","CCDS1152.1","-","P29373"
"CREB1","1385","NP_004370.1","NM_004379.3","CCDS2374.1","Q53X93","P16220"
"CREB1","1385","NP_604391.1","NM_134442.3","CCDS2375.1","Q5U0J5","P16220"
"CRISPLD2","83716","NP_113664.1","NM_031476.3","CCDS10949.1","-","Q9H0B8"
"CSNK2B","1460","NP_001311.3","NM_001320.5","CCDS4712.1","B0UXA9","P67870"
"CTHRC1","115908","NP_612464.1","NM_138455.2","CCDS6299.1","-","Q96CG8"
"CTNNB1","1499","NP_001091679.1","NM_001098209.1","CCDS2694.1","-","P35222"
"CTNNB1","1499","NP_001091680.1","NM_001098210.1","CCDS2694.1","-","P35222"
"CTNNB1","1499","NP_001895.1","NM_001904.3","CCDS2694.1","-","P35222"
"CTNND1","1500","NP_001078927.1","NM_001085458.1","CCDS44604.1","-","O60716"
"CTNND1","1500","NP_001078928.1","NM_001085459.1","CCDS44605.1","-","O60716"
"CTNND1","1500","NP_001078929.1","NM_001085460.1","CCDS44606.1","-","O60716"
"CTNND1","1500","NP_001078930.1","NM_001085461.1","CCDS44606.1","-","O60716"
"CTNND1","1500","NP_001078931.1","NM_001085462.1","CCDS44606.1","-","O60716"
"CTNND1","1500","NP_001078932.1","NM_001085463.1","CCDS44608.1","-","O60716"
"CTNND1","1500","NP_001078933.1","NM_001085464.1","CCDS53633.1","-","O60716"
"CTNND1","1500","NP_001078934.1","NM_001085465.1","CCDS53634.1","-","O60716"
"CTNND1","1500","NP_001078935.1","NM_001085466.1","CCDS53632.1","-","O60716"
"CTNND1","1500","NP_001078936.1","NM_001085467.1","CCDS44609.1","-","O60716"
"CTNND1","1500","NP_001078937.1","NM_001085468.1","CCDS44609.1","-","O60716"
"CTNND1","1500","NP_001078938.1","NM_001085469.1","CCDS44609.1","-","O60716"
"CTNND1","1500","NP_001322.1","NM_001331.2","CCDS44607.1","-","O60716"
"CTSB","1508","NP_001899.1","NM_001908.3","CCDS5986.1","-","P07858"
"CTSB","1508","NP_680090.1","NM_147780.2","CCDS5986.1","-","P07858"
"CTSB","1508","NP_680091.1","NM_147781.2","CCDS5986.1","-","P07858"
"CTSB","1508","NP_680092.1","NM_147782.2","CCDS5986.1","-","P07858"
"CTSB","1508","NP_680093.1","NM_147783.2","CCDS5986.1","-","P07858"
"CTSD","1509","NP_001900.1","NM_001909.4","CCDS7725.1","-","P07339"
"CTSH","1512","NP_004381.2","NM_004390.3","CCDS10308.1","Q96NY6","P09668"
"CTSW","1521","NP_001326.2","NM_001335.3","CCDS8117.1","-","P56202"
"CXCL12","6387","NP_000600.1","NM_000609.5","CCDS44373.1","-","P48061"
"CXCL12","6387","NP_001029058.1","NM_001033886.2","CCDS31186.1","-","-"
"CXCL12","6387","NP_001171605.1","NM_001178134.1","CCDS53527.1","Q2L988","-"
"CXCL12","6387","NP_954637.1","NM_199168.3","CCDS7207.1","Q6ICW0","P48061"
"CXCL17","284340","NP_940879.1","NM_198477.1","CCDS12608.1","-","Q6UXB2"
"CXCL5","6374","NP_002985.1","NM_002994.3","CCDS34006.1","Q6I9S7","P42830"
"CXCL9","4283","NP_002407.1","NM_002416.1","CCDS34014.1","-","Q07325"
"CXCR4","7852","NP_001008540.1","NM_001008540.1","CCDS33295.1","-","P61073"
"CXCR4","7852","NP_003458.1","NM_003467.2","CCDS46420.1","-","P61073"
"CYP17A1","1586","NP_000093.1","NM_000102.3","CCDS7541.1","Q1HB44","P05093"
"CYP19A1","1588","NP_000094.2","NM_000103.3","CCDS10139.1","Q8TCA4","P11511"
"CYP19A1","1588","NP_112503.1","NM_031226.2","CCDS10139.1","A8K6W3; Q05CU4; Q8TCA4","P11511"
"CYP1A1","1543","NP_000490.1","NM_000499.3","CCDS10268.1","A0N0X8","P04798"
"CYP1B1","1545","NP_000095.2","NM_000104.3","CCDS1793.1","Q53TK1","Q16678"
"CYP39A1","51302","NP_057677.2","NM_016593.3","CCDS4916.1","-","Q9NYL5"
"CYP3A7","1551","NP_000756.2","NM_000765.3","CCDS5673.1","-","P24462"
"CYP4X1","260293","NP_828847.1","NM_178033.1","CCDS544.1","Q5VVE5","Q8N118"
"Cyr61","3491","NP_001545.2","NM_001554.4","CCDS706.1","Q6FI18","O00622"
"DAB2IP","153090","NP_115941.2","NM_032552.2","CCDS6833.2","-","Q5VWQ8"
"DAB2IP","153090","NP_619723.1","NM_138709.1","CCDS6832.1","-","Q5VWQ8"
"DACH1","1602","NP_004383.3","NM_004392.5","CCDS53873.1","D0FY36","Q9UI36"
"DACH1","1602","NP_542937.2","NM_080759.4","CCDS41899.1","-","Q9UI36"
"DACH1","1602","NP_542938.2","NM_080760.4","CCDS53874.1","D0FY35","Q9UI36"
"DARS","1615","NP_001340.2","NM_001349.2","CCDS2180.1","-","P14868"
"DDR1","780","NP_001189450.1","NM_001202521.1","-","Q96T62","Q08345"
"DDR1","780","NP_001189451.1","NM_001202522.1","-","Q96T61","Q08345"
"DDR1","780","NP_001189452.1","NM_001202523.1","-","B7Z2K0","Q08345"
"DDR1","780","NP_001945.3","NM_001954.4","CCDS4690.1","-","Q08345"
"DDR1","780","NP_054699.2","NM_013993.2","CCDS34385.1","-","Q08345"
"DDR1","780","NP_054700.2","NM_013994.2","CCDS47396.1","-","Q08345"
"DEPDC1","55635","NP_001107592.1","NM_001114120.1","CCDS44159.1","-","Q5TB30"
"DEPDC1","55635","NP_060249.2","NM_017779.4","CCDS644.1","-","Q5TB30"
"DHX16","8449","NP_001157711.1","NM_001164239.1","-","B4DZ28","O60231"
"DHX16","8449","NP_003578.2","NM_003587.4","CCDS4685.1","Q5SQH4","O60231"
"DKK4","27121","NP_055235.1","NM_014420.2","CCDS6130.1","-","Q9UBT3"
"DLX5","1749","NP_005212.1","NM_005221.5","CCDS5647.1","Q53Y73","P56178"
"DNAJA2","10294","NP_005871.1","NM_005880.3","CCDS10726.1","-","O60884"
"DNMT1","1786","NP_001124295.1","NM_001130823.1","CCDS45958.1","-","P26358"
"DNMT1","1786","NP_001370.1","NM_001379.2","CCDS12228.1","-","P26358"
"DPP6","1804","NP_001034439.1","NM_001039350.1","-","E9PF59","P42658"
"DPP6","1804","NP_001927.3","NM_001936.3","-","-","P42658"
"DPP6","1804","NP_570629.2","NM_130797.2","-","-","P42658"
"ECM2","1842","NP_001184224.1","NM_001197295.1","-","-","O94769"
"ECM2","1842","NP_001184225.1","NM_001197296.1","-","-","O94769"
"ECM2","1842","NP_001384.1","NM_001393.3","CCDS6698.1","-","O94769"
"EDNRB","1910","NP_000106.1","NM_000115.3","CCDS9461.1","-","P24530"
"EDNRB","1910","NP_001116131.1","NM_001122659.2","CCDS9461.1","-","P24530"
"EDNRB","1910","NP_001188326.1","NM_001201397.1","-","-","P24530"
"EFEMP1","2202","NP_001034437.1","NM_001039348.2","CCDS1857.1","B2R6M6","Q12805"
"EFEMP1","2202","NP_001034438.1","NM_001039349.2","CCDS1857.1","-","Q12805"
"EFHA2","286097","NP_859074.1","NM_181723.2","CCDS5999.1","-","Q86XE3"
"EFNB2","1948","NP_004084.1","NM_004093.3","CCDS9507.1","-","P52799"
"EFS","10278","NP_005855.1","NM_005864.2","CCDS9595.1","-","O43281"
"EFS","10278","NP_115835.1","NM_032459.1","CCDS9596.1","-","O43281"
"EGF","1950","NP_001171601.1","NM_001178130.1","CCDS54794.1","E7EVD2","-"
"EGF","1950","NP_001171602.1","NM_001178131.1","CCDS54795.1","B4DRK7; E9PBF0","-"
"EGF","1950","NP_001954.2","NM_001963.4","CCDS3689.1","B4DRK7","P01133"
"EGFL6","25975","NP_001161362.1","NM_001167890.1","CCDS55370.1","-","Q8IUX8"
"EGFL6","25975","NP_056322.2","NM_015507.3","CCDS14155.1","-","Q8IUX8"
"EGFR","1956","NP_005219.2","NM_005228.3","CCDS5514.1","-","P00533"
"EGFR","1956","NP_958439.1","NM_201282.1","CCDS5516.1","-","P00533"
"EGFR","1956","NP_958440.1","NM_201283.1","CCDS47587.1","-","P00533"
"EGFR","1956","NP_958441.1","NM_201284.1","CCDS5515.1","-","P00533"
"EHD2","30846","NP_055416.2","NM_014601.3","CCDS12704.1","-","Q9NZN4"
"EIF4EBP1","1978","NP_004086.1","NM_004095.3","CCDS6100.1","-","Q13541"
"ELF1","1997","NP_001138825.1","NM_001145353.1","CCDS45043.1","B4E2I5; E9PDQ9; Q6MZZ4","-"
"ELF1","1997","NP_758961.1","NM_172373.3","CCDS9374.1","Q6MZZ4","P32519"
"ELF5","2001","NP_001413.1","NM_001422.2","CCDS7893.1","A8K443","Q9UKW6"
"ELF5","2001","NP_938195.1","NM_198381.1","CCDS7892.1","A8K443","Q9UKW6"
"EMILIN1","11117","NP_008977.1","NM_007046.3","CCDS1733.1","-","Q9Y6C2"
"EMP2","2013","NP_001415.1","NM_001424.4","CCDS10541.1","-","P54851"
"ENOSF1","55556","NP_001119595.1","NM_001126123.3","CCDS45821.1","-","Q7L5Y1"
"ENOSF1","55556","NP_059982.2","NM_017512.5","CCDS11822.1","-","Q7L5Y1"
"ENOSF1","55556","NP_974487.1","NM_202758.3","CCDS11823.1","A6NMP3","Q7L5Y1"
"ENSA","2029","NP_004427.1","NM_004436.2","CCDS958.1","-","O43768"
"ENSA","2029","NP_996925.1","NM_207042.1","CCDS959.1","-","O43768"
"ENSA","2029","NP_996926.1","NM_207043.1","CCDS962.1","E9PB69","O43768"
"ENSA","2029","NP_996927.1","NM_207044.1","CCDS963.1","-","O43768"
"ENSA","2029","NP_996928.1","NM_207045.1","CCDS960.1","-","O43768"
"ENSA","2029","NP_996929.1","NM_207046.1","CCDS961.1","-","O43768"
"ENSA","2029","NP_996930.1","NM_207047.1","CCDS964.1","-","O43768"
"ENSA","2029","NP_997051.1","NM_207168.1","CCDS965.1","-","O43768"
"EPDR1","54749","NP_060019.1","NM_017549.3","CCDS5454.1","A4D1W8","Q9UM22"
"EPHB2","2048","NP_004433.2","NM_004442.6","CCDS230.1","-","P29323"
"EPHB2","2048","NP_059145.2","NM_017449.3","CCDS229.2","-","P29323"
"EPHB4","2050","NP_004435.3","NM_004444.4","CCDS5706.1","Q541P7; Q7Z635; Q96L35","P54760"
"EPPK1","83481","NP_112598.2","NM_031308.1","-","-","P58107"
"ErbB2","2064","NP_001005862.1","NM_001005862.1","CCDS45667.1","-","P04626"
"ErbB2","2064","NP_004439.2","NM_004448.2","CCDS32642.1","-","P04626"
"ERO1L","30001","NP_055399.1","NM_014584.1","CCDS9709.1","-","Q96HE7"
"ESM1","11082","NP_001129076.1","NM_001135604.1","CCDS47206.1","Q3V4E3","-"
"ESM1","11082","NP_008967.1","NM_007036.4","CCDS3963.1","-","Q9NQ30"
"ESPN","83715","NP_113663.2","NM_031475.2","CCDS70.1","-","B1AK53"
"ESR1","2099","NP_000116.2","NM_000125.3","CCDS5234.1","-","P03372"
"ESR1","2099","NP_001116212.1","NM_001122740.1","CCDS5234.1","Q9UBT1","P03372"
"ESR1","2099","NP_001116213.1","NM_001122741.1","CCDS5234.1","-","P03372"
"ESR1","2099","NP_001116214.1","NM_001122742.1","CCDS5234.1","-","P03372"
"ESR2","2100","NP_001035365.1","NM_001040275.1","CCDS32096.1","-","Q92731"
"ESR2","2100","NP_001035366.1","NM_001040276.1","CCDS32096.1","-","Q92731"
"ESR2","2100","NP_001428.1","NM_001437.2","CCDS9762.1","Q7LCB3","Q92731"
"ETS1","2113","NP_001137292.1","NM_001143820.1","CCDS44767.1","Q6N087","-"
"ETS1","2113","NP_001155894.1","NM_001162422.1","CCDS53724.1","A8K725; B4DW78; Q6N087","-"
"ETS1","2113","NP_005229.1","NM_005238.3","CCDS8475.1","B4DW78","P14921"
"ETV5","2119","NP_004445.1","NM_004454.2","CCDS33906.1","-","P41161"
"F10","2159","NP_000495.1","NM_000504.3","CCDS9530.1","Q5JVE7","P00742"
"F13A1","2162","NP_000120.2","NM_000129.3","CCDS4496.1","-","P00488"
"FAM20A","54757","NP_060035.2","NM_017565.3","CCDS11679.1","Q8IYA5","Q96MK3"
"FAM46C","54855","NP_060179.2","NM_017709.3","CCDS896.1","-","Q5VWP2"
"FAM65C","140876","NP_543019.2","NM_080829.2","CCDS13431.2","-","Q96MK2"
"FAM89B","23625","NP_001092254.1","NM_001098784.1","CCDS44648.1","E9PB01","Q8N5H3"
"FAM89B","23625","NP_001092255.1","NM_001098785.1","CCDS53662.1","E9PL72","Q8N5H3"
"FAM89B","23625","NP_690045.1","NM_152832.2","CCDS8105.1","-","Q8N5H3"
"Fas","355","NP_000034.1","NM_000043.4","CCDS7393.1","-","P25445"
"Fas","355","NP_690610.1","NM_152871.2","CCDS7394.1","-","P25445"
"Fas","355","NP_690611.1","NM_152872.2","CCDS7395.1","Q5T9P3","-"
"FBN1","2200","NP_000129.3","NM_000138.4","CCDS32232.1","D2JYH6","P35555"
"FBXO32","114907","NP_001229392.1","NM_001242463.1","-","-","-"
"FBXO32","114907","NP_478136.1","NM_058229.3","CCDS6345.1","-","Q969P5"
"FBXO32","114907","NP_680482.1","NM_148177.2","-","-","-"
"FBXW7","55294","NP_001013433.1","NM_001013415.1","CCDS34078.1","-","Q969H0"
"FBXW7","55294","NP_060785.2","NM_018315.4","CCDS3778.1","-","Q969H0"
"FBXW7","55294","NP_361014.1","NM_033632.2","CCDS3777.1","-","Q969H0"
"FGF2","2247","NP_001997.5","NM_002006.4","CCDS34059.1","-","P09038"
"FGFR1","2260","NP_001167534.1","NM_001174063.1","CCDS55222.1","-","P11362"
"FGFR1","2260","NP_001167535.1","NM_001174064.1","CCDS55221.1","E9PHC6; Q59H40","P11362"
"FGFR1","2260","NP_001167536.1","NM_001174065.1","CCDS43732.1","-","P11362"
"FGFR1","2260","NP_001167537.1","NM_001174066.1","CCDS43730.1","-","P11362"
"FGFR1","2260","NP_001167538.1","NM_001174067.1","CCDS55223.1","-","P11362"
"FGFR1","2260","NP_056934.2","NM_015850.3","CCDS43732.1","-","P11362"
"FGFR1","2260","NP_075593.1","NM_023105.2","CCDS43730.1","-","P11362"
"FGFR1","2260","NP_075594.1","NM_023106.2","CCDS43731.1","-","P11362"
"FGFR1","2260","NP_075598.2","NM_023110.2","CCDS6107.2","-","P11362"
"FHIT","2272","NP_001159715.1","NM_001166243.1","CCDS2894.1","A8K1A9; Q45QG9","P49789"
"FHIT","2272","NP_002003.1","NM_002012.2","CCDS2894.1","Q45QG9","P49789"
"FLRT2","23768","NP_037363.1","NM_013231.4","CCDS9877.1","B3KPR2","O43155"
"FOLH1","2346","NP_001014986.1","NM_001014986.1","CCDS31493.1","-","Q04609"
"FOLH1","2346","NP_001180400.1","NM_001193471.1","CCDS53628.1","-","Q04609"
"FOLH1","2346","NP_001180401.1","NM_001193472.1","CCDS53627.1","-","Q04609"
"FOLH1","2346","NP_001180402.1","NM_001193473.1","CCDS53626.1","B7Z312","Q04609"
"FOLH1","2346","NP_004467.1","NM_004476.1","CCDS7946.1","-","Q04609"
"FOXA1","3169","NP_004487.2","NM_004496.2","CCDS9665.1","-","P55317"
"FOXA2","3170","NP_068556.2","NM_021784.4","CCDS46585.1","B0ZTD4","Q9Y261"
"FOXA2","3170","NP_710141.1","NM_153675.2","CCDS13147.1","-","Q9Y261"
"FOXC1","2296","NP_001444.2","NM_001453.2","CCDS4473.1","-","Q12948"
"FOXL2","668","NP_075555.1","NM_023067.3","CCDS3105.1","Q53ZD3","P58012"
"FUCA1","2517","NP_000138.2","NM_000147.4","CCDS244.2","-","P04066"
